epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.242133,0.242133,0.000000,0.012666,0.012666,0.000000,1.403025,2.418809,0.100000,0.461807
2,0.110277,0.110277,0.000000,0.008382,0.008382,0.000000,1.141337,2.418809,0.100000,0.456243
3,0.076501,0.076501,0.000000,0.007284,0.007284,0.000000,1.063967,2.418809,0.100000,0.457184
4,0.066025,0.066025,0.000000,0.006785,0.006785,0.000000,1.026909,2.418809,0.100000,0.460399
5,0.060530,0.060530,0.000000,0.006414,0.006414,0.000000,0.998454,2.418809,0.100000,0.461704
6,0.056444,0.056444,0.000000,0.006194,0.006194,0.000000,0.981141,2.418809,0.100000,0.457823
7,0.053523,0.053523,0.000000,0.006189,0.006189,0.000000,0.980742,2.418809,0.100000,0.458416
8,0.051686,0.051686,0.000000,0.006226,0.006226,0.000000,0.983715,2.418809,0.100000,0.456161
9,0.050662,0.050662,0.000000,0.006288,0.006288,0.000000,0.988587,2.418809,0.100000,0.465310
10,0.050181,0.050181,0.000000,0.006380,0.006380,0.000000,0.995789,2.418809,0.100000,0.593339
11,0.050023,0.050023,0.000000,0.006455,0.006455,0.000000,1.001638,2.418809,0.100000,0.510611
12,0.050004,0.050004,0.000000,0.006515,0.006515,0.000000,1.006250,2.418809,0.100000,0.514105
13,0.050036,0.050036,0.000000,0.006548,0.006548,0.000000,1.008772,2.418809,0.100000,0.510627
14,0.050045,0.050045,0.000000,0.006548,0.006548,0.000000,1.008777,2.418809,0.100000,0.511112
15,0.050009,0.050009,0.000000,0.006528,0.006528,0.000000,1.007270,2.418809,0.100000,0.516969
16,0.049932,0.049932,0.000000,0.006495,0.006495,0.000000,1.004697,2.418809,0.100000,0.505926
17,0.049828,0.049828,0.000000,0.006449,0.006449,0.000000,1.001106,2.418809,0.100000,0.462246
18,0.049710,0.049710,0.000000,0.006391,0.006391,0.000000,0.996630,2.418809,0.100000,0.461291
19,0.049584,0.049584,0.000000,0.006331,0.006331,0.000000,0.991939,2.418809,0.100000,0.461218
20,0.049456,0.049456,0.000000,0.006273,0.006273,0.000000,0.987411,2.418809,0.100000,0.461996
21,0.049330,0.049330,0.000000,0.006224,0.006224,0.000000,0.983524,2.418809,0.100000,0.461571
22,0.049205,0.049205,0.000000,0.006186,0.006186,0.000000,0.980543,2.418809,0.100000,0.460395
23,0.049079,0.049079,0.000000,0.006159,0.006159,0.000000,0.978339,2.418809,0.100000,0.461512
24,0.048960,0.048960,0.000000,0.006136,0.006136,0.000000,0.976539,2.418809,0.100000,0.461700
25,0.048846,0.048846,0.000000,0.006113,0.006113,0.000000,0.974726,2.418809,0.100000,0.461813
26,0.048735,0.048735,0.000000,0.006088,0.006088,0.000000,0.972756,2.418809,0.100000,0.460714
27,0.048625,0.048625,0.000000,0.006065,0.006065,0.000000,0.970843,2.418809,0.100000,0.486179
28,0.048512,0.048512,0.000000,0.006042,0.006042,0.000000,0.969010,2.418809,0.100000,0.511786
29,0.048394,0.048394,0.000000,0.006020,0.006020,0.000000,0.967261,2.418809,0.100000,0.513135
30,0.048276,0.048276,0.000000,0.006000,0.006000,0.000000,0.965690,2.418809,0.100000,0.511590
31,0.048159,0.048159,0.000000,0.005984,0.005984,0.000000,0.964353,2.418809,0.100000,0.479018
32,0.048043,0.048043,0.000000,0.005969,0.005969,0.000000,0.963164,2.418809,0.100000,0.461592
33,0.047935,0.047935,0.000000,0.005956,0.005956,0.000000,0.962105,2.418809,0.100000,0.462113
34,0.047830,0.047830,0.000000,0.005945,0.005945,0.000000,0.961189,2.418809,0.100000,0.461664
35,0.047728,0.047728,0.000000,0.005935,0.005935,0.000000,0.960381,2.418809,0.100000,0.462863
36,0.047630,0.047630,0.000000,0.005924,0.005924,0.000000,0.959555,2.418809,0.100000,0.462054
37,0.047533,0.047533,0.000000,0.005914,0.005914,0.000000,0.958697,2.418809,0.100000,0.462579
38,0.047435,0.047435,0.000000,0.005903,0.005903,0.000000,0.957839,2.418809,0.100000,0.461812
39,0.047336,0.047336,0.000000,0.005894,0.005894,0.000000,0.957061,2.418809,0.100000,0.462599
40,0.047235,0.047235,0.000000,0.005885,0.005885,0.000000,0.956341,2.418809,0.100000,0.462024
41,0.047136,0.047136,0.000000,0.005876,0.005876,0.000000,0.955596,2.418809,0.100000,0.462883
42,0.047036,0.047036,0.000000,0.005866,0.005866,0.000000,0.954808,2.418809,0.100000,0.461540
43,0.046936,0.046936,0.000000,0.005857,0.005857,0.000000,0.954060,2.418809,0.100000,0.462661
44,0.046836,0.046836,0.000000,0.005848,0.005848,0.000000,0.953365,2.418809,0.100000,0.461811
45,0.046736,0.046736,0.000000,0.005839,0.005839,0.000000,0.952648,2.418809,0.100000,0.478543
46,0.046637,0.046637,0.000000,0.005829,0.005829,0.000000,0.951826,2.418809,0.100000,0.510396
47,0.046540,0.046540,0.000000,0.005817,0.005817,0.000000,0.950844,2.418809,0.100000,0.511392
48,0.046444,0.046444,0.000000,0.005804,0.005804,0.000000,0.949720,2.418809,0.100000,0.510919
49,0.046350,0.046350,0.000000,0.005790,0.005790,0.000000,0.948576,2.418809,0.100000,0.511088
50,0.046256,0.046256,0.000000,0.005776,0.005776,0.000000,0.947475,2.418809,0.100000,0.509741
