epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.219819,0.219819,0.000000,0.013442,0.013442,0.000000,1.445373,2.184608,0.100000,0.452453
2,0.110445,0.110445,0.000000,0.009238,0.009238,0.000000,1.198204,2.184608,0.100000,0.449756
3,0.075660,0.075660,0.000000,0.007875,0.007875,0.000000,1.106322,2.184608,0.100000,0.446454
4,0.063573,0.063573,0.000000,0.007386,0.007386,0.000000,1.071419,2.184608,0.100000,0.449113
5,0.058034,0.058034,0.000000,0.007239,0.007239,0.000000,1.060696,2.184608,0.100000,0.451638
6,0.055474,0.055474,0.000000,0.007215,0.007215,0.000000,1.058955,2.184608,0.100000,0.452440
7,0.054445,0.054445,0.000000,0.007217,0.007217,0.000000,1.059105,2.184608,0.100000,0.449585
8,0.053996,0.053996,0.000000,0.007218,0.007218,0.000000,1.059148,2.184608,0.100000,0.448987
9,0.053733,0.053733,0.000000,0.007216,0.007216,0.000000,1.059002,2.184608,0.100000,0.449373
10,0.053579,0.053579,0.000000,0.007216,0.007216,0.000000,1.059028,2.184608,0.100000,0.450950
11,0.053479,0.053479,0.000000,0.007218,0.007218,0.000000,1.059150,2.184608,0.100000,0.450111
12,0.053407,0.053407,0.000000,0.007220,0.007220,0.000000,1.059268,2.184608,0.100000,0.450264
13,0.053351,0.053351,0.000000,0.007221,0.007221,0.000000,1.059389,2.184608,0.100000,0.450363
14,0.053306,0.053306,0.000000,0.007223,0.007223,0.000000,1.059504,2.184608,0.100000,0.449781
15,0.053268,0.053268,0.000000,0.007224,0.007224,0.000000,1.059565,2.184608,0.100000,0.451387
16,0.053235,0.053235,0.000000,0.007224,0.007224,0.000000,1.059567,2.184608,0.100000,0.449749
17,0.053205,0.053205,0.000000,0.007223,0.007223,0.000000,1.059516,2.184608,0.100000,0.531742
18,0.053177,0.053177,0.000000,0.007221,0.007221,0.000000,1.059350,2.184608,0.100000,0.453818
19,0.053151,0.053151,0.000000,0.007217,0.007217,0.000000,1.059089,2.184608,0.100000,0.454911
20,0.053125,0.053125,0.000000,0.007212,0.007212,0.000000,1.058724,2.184608,0.100000,0.454170
21,0.053098,0.053098,0.000000,0.007206,0.007206,0.000000,1.058256,2.184608,0.100000,0.454176
22,0.053070,0.053070,0.000000,0.007198,0.007198,0.000000,1.057692,2.184608,0.100000,0.454068
23,0.053041,0.053041,0.000000,0.007190,0.007190,0.000000,1.057072,2.184608,0.100000,0.455178
24,0.053012,0.053012,0.000000,0.007181,0.007181,0.000000,1.056395,2.184608,0.100000,0.454255
25,0.052981,0.052981,0.000000,0.007170,0.007170,0.000000,1.055633,2.184608,0.100000,0.455676
26,0.052948,0.052948,0.000000,0.007158,0.007158,0.000000,1.054728,2.184608,0.100000,0.454132
27,0.052913,0.052913,0.000000,0.007144,0.007144,0.000000,1.053712,2.184608,0.100000,0.454330
28,0.052876,0.052876,0.000000,0.007130,0.007130,0.000000,1.052700,2.184608,0.100000,0.454306
29,0.052838,0.052838,0.000000,0.007117,0.007117,0.000000,1.051741,2.184608,0.100000,0.456775
30,0.052798,0.052798,0.000000,0.007106,0.007106,0.000000,1.050873,2.184608,0.100000,0.454726
31,0.052760,0.052760,0.000000,0.007095,0.007095,0.000000,1.050095,2.184608,0.100000,0.455832
32,0.052727,0.052727,0.000000,0.007086,0.007086,0.000000,1.049416,2.184608,0.100000,0.454060
33,0.052696,0.052696,0.000000,0.007078,0.007078,0.000000,1.048801,2.184608,0.100000,0.454562
34,0.052665,0.052665,0.000000,0.007070,0.007070,0.000000,1.048227,2.184608,0.100000,0.454485
35,0.052632,0.052632,0.000000,0.007063,0.007063,0.000000,1.047680,2.184608,0.100000,0.457747
36,0.052595,0.052595,0.000000,0.007055,0.007055,0.000000,1.047141,2.184608,0.100000,0.456386
37,0.052555,0.052555,0.000000,0.007048,0.007048,0.000000,1.046625,2.184608,0.100000,0.454940
38,0.052514,0.052514,0.000000,0.007042,0.007042,0.000000,1.046134,2.184608,0.100000,0.455301
39,0.052471,0.052471,0.000000,0.007036,0.007036,0.000000,1.045684,2.184608,0.100000,0.455277
40,0.052428,0.052428,0.000000,0.007030,0.007030,0.000000,1.045269,2.184608,0.100000,0.454916
41,0.052386,0.052386,0.000000,0.007025,0.007025,0.000000,1.044866,2.184608,0.100000,0.454419
42,0.052343,0.052343,0.000000,0.007019,0.007019,0.000000,1.044448,2.184608,0.100000,0.454996
43,0.052300,0.052300,0.000000,0.007013,0.007013,0.000000,1.043999,2.184608,0.100000,0.454799
44,0.052257,0.052257,0.000000,0.007006,0.007006,0.000000,1.043511,2.184608,0.100000,0.454808
45,0.052213,0.052213,0.000000,0.006999,0.006999,0.000000,1.042987,2.184608,0.100000,0.455106
46,0.052169,0.052169,0.000000,0.006992,0.006992,0.000000,1.042436,2.184608,0.100000,0.454783
47,0.052123,0.052123,0.000000,0.006984,0.006984,0.000000,1.041859,2.184608,0.100000,0.455354
48,0.052077,0.052077,0.000000,0.006976,0.006976,0.000000,1.041265,2.184608,0.100000,0.454824
49,0.052030,0.052030,0.000000,0.006968,0.006968,0.000000,1.040678,2.184608,0.100000,0.455533
50,0.051983,0.051983,0.000000,0.006961,0.006961,0.000000,1.040087,2.184608,0.100000,0.454558
