epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.076229,0.000000,0.076229,0.010797,0.000000,0.010797,1.061102,1.016672,0.010000,0.499964
2,0.076225,0.000000,0.076225,0.010796,0.000000,0.010796,1.061102,1.016608,0.010000,0.462455
3,0.076220,0.000000,0.076220,0.010794,0.000000,0.010794,1.061102,1.016526,0.010000,0.448369
4,0.076214,0.000000,0.076214,0.010792,0.000000,0.010792,1.061102,1.016428,0.010000,0.451681
5,0.076206,0.000000,0.076206,0.010790,0.000000,0.010790,1.061102,1.016317,0.010000,0.451559
6,0.076197,0.000000,0.076197,0.010787,0.000000,0.010787,1.061102,1.016192,0.010000,0.453821
7,0.076188,0.000000,0.076188,0.010784,0.000000,0.010784,1.061102,1.016058,0.010000,0.456094
8,0.076177,0.000000,0.076177,0.010781,0.000000,0.010781,1.061102,1.015912,0.010000,0.457968
9,0.076166,0.000000,0.076166,0.010778,0.000000,0.010778,1.061102,1.015758,0.010000,0.460105
10,0.076154,0.000000,0.076154,0.010774,0.000000,0.010774,1.061102,1.015596,0.010000,0.457041
11,0.076141,0.000000,0.076141,0.010771,0.000000,0.010771,1.061102,1.015426,0.010000,0.458022
12,0.076128,0.000000,0.076128,0.010767,0.000000,0.010767,1.061102,1.015250,0.010000,0.459799
13,0.076114,0.000000,0.076114,0.010763,0.000000,0.010763,1.061102,1.015069,0.010000,0.461652
14,0.076099,0.000000,0.076099,0.010759,0.000000,0.010759,1.061102,1.014883,0.010000,0.499710
15,0.076085,0.000000,0.076085,0.010755,0.000000,0.010755,1.061102,1.014691,0.010000,0.499463
16,0.076070,0.000000,0.076070,0.010751,0.000000,0.010751,1.061102,1.014496,0.010000,0.508358
17,0.076054,0.000000,0.076054,0.010747,0.000000,0.010747,1.061102,1.014298,0.010000,0.496946
18,0.076039,0.000000,0.076039,0.010743,0.000000,0.010743,1.061102,1.014096,0.010000,0.450021
19,0.076023,0.000000,0.076023,0.010738,0.000000,0.010738,1.061102,1.013892,0.010000,0.449479
20,0.076007,0.000000,0.076007,0.010734,0.000000,0.010734,1.061102,1.013685,0.010000,0.450340
21,0.075991,0.000000,0.075991,0.010729,0.000000,0.010729,1.061102,1.013476,0.010000,0.449863
22,0.075974,0.000000,0.075974,0.010725,0.000000,0.010725,1.061102,1.013266,0.010000,0.458980
23,0.075958,0.000000,0.075958,0.010720,0.000000,0.010720,1.061102,1.013054,0.010000,0.458931
24,0.075941,0.000000,0.075941,0.010716,0.000000,0.010716,1.061102,1.012841,0.010000,0.458706
25,0.075924,0.000000,0.075924,0.010711,0.000000,0.010711,1.061102,1.012626,0.010000,0.465710
26,0.075907,0.000000,0.075907,0.010707,0.000000,0.010707,1.061102,1.012411,0.010000,0.499983
27,0.075890,0.000000,0.075890,0.010702,0.000000,0.010702,1.061102,1.012195,0.010000,0.500361
28,0.075873,0.000000,0.075873,0.010698,0.000000,0.010698,1.061102,1.011978,0.010000,0.450976
29,0.075856,0.000000,0.075856,0.010693,0.000000,0.010693,1.061102,1.011761,0.010000,0.451177
30,0.075839,0.000000,0.075839,0.010689,0.000000,0.010689,1.061102,1.011544,0.010000,0.450654
31,0.075822,0.000000,0.075822,0.010684,0.000000,0.010684,1.061102,1.011326,0.010000,0.450268
32,0.075804,0.000000,0.075804,0.010679,0.000000,0.010679,1.061102,1.011109,0.010000,0.452074
33,0.075787,0.000000,0.075787,0.010675,0.000000,0.010675,1.061102,1.010891,0.010000,0.452228
34,0.075770,0.000000,0.075770,0.010670,0.000000,0.010670,1.061102,1.010673,0.010000,0.450746
35,0.075753,0.000000,0.075753,0.010666,0.000000,0.010666,1.061102,1.010455,0.010000,0.450825
36,0.075735,0.000000,0.075735,0.010661,0.000000,0.010661,1.061102,1.010238,0.010000,0.454790
37,0.075718,0.000000,0.075718,0.010656,0.000000,0.010656,1.061102,1.010021,0.010000,0.453346
38,0.075701,0.000000,0.075701,0.010652,0.000000,0.010652,1.061102,1.009804,0.010000,0.449848
39,0.075684,0.000000,0.075684,0.010647,0.000000,0.010647,1.061102,1.009587,0.010000,0.450399
40,0.075667,0.000000,0.075667,0.010643,0.000000,0.010643,1.061102,1.009371,0.010000,0.451968
41,0.075649,0.000000,0.075649,0.010638,0.000000,0.010638,1.061102,1.009155,0.010000,0.452317
42,0.075632,0.000000,0.075632,0.010634,0.000000,0.010634,1.061102,1.008940,0.010000,0.450655
43,0.075615,0.000000,0.075615,0.010629,0.000000,0.010629,1.061102,1.008725,0.010000,0.450757
44,0.075598,0.000000,0.075598,0.010625,0.000000,0.010625,1.061102,1.008511,0.010000,0.451573
45,0.075581,0.000000,0.075581,0.010620,0.000000,0.010620,1.061102,1.008297,0.010000,0.452003
46,0.075564,0.000000,0.075564,0.010616,0.000000,0.010616,1.061102,1.008084,0.010000,0.451433
47,0.075547,0.000000,0.075547,0.010611,0.000000,0.010611,1.061102,1.007871,0.010000,0.501203
48,0.075530,0.000000,0.075530,0.010607,0.000000,0.010607,1.061102,1.007660,0.010000,0.499948
49,0.075513,0.000000,0.075513,0.010602,0.000000,0.010602,1.061102,1.007448,0.010000,0.500956
50,0.075496,0.000000,0.075496,0.010598,0.000000,0.010598,1.061102,1.007237,0.010000,0.494157
