epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.191704,0.000000,0.191704,0.013261,0.000000,0.013261,1.392202,1.126632,0.100000,0.453421
2,0.112550,0.000000,0.112550,0.010144,0.000000,0.010144,1.392428,0.985579,0.100000,0.442651
3,0.085055,0.000000,0.085055,0.010181,0.000000,0.010181,1.392306,0.987421,0.100000,0.443320
4,0.078334,0.000000,0.078334,0.010497,0.000000,0.010497,1.392290,1.002511,0.100000,0.505365
5,0.076885,0.000000,0.076885,0.010693,0.000000,0.010693,1.392128,1.011808,0.100000,0.470308
6,0.076513,0.000000,0.076513,0.010744,0.000000,0.010744,1.392220,1.014197,0.100000,0.447437
7,0.076370,0.000000,0.076370,0.010752,0.000000,0.010752,1.392315,1.014512,0.100000,0.445251
8,0.076290,0.000000,0.076290,0.010738,0.000000,0.010738,1.391959,1.013900,0.100000,0.445728
9,0.076251,0.000000,0.076251,0.010720,0.000000,0.010720,1.392381,1.013014,0.100000,0.445440
10,0.076219,0.000000,0.076219,0.010704,0.000000,0.010704,1.392077,1.012204,0.100000,0.454076
11,0.076183,0.000000,0.076183,0.010688,0.000000,0.010688,1.392232,1.011520,0.100000,0.449856
12,0.076148,0.000000,0.076148,0.010674,0.000000,0.010674,1.392495,1.010968,0.100000,0.448194
13,0.076111,0.000000,0.076111,0.010664,0.000000,0.010664,1.392604,1.010386,0.100000,0.447102
14,0.076075,0.000000,0.076075,0.010651,0.000000,0.010651,1.392027,1.009764,0.100000,0.446874
15,0.076026,0.000000,0.076026,0.010633,0.000000,0.010633,1.392345,1.009010,0.100000,0.446995
16,0.075971,0.000000,0.075971,0.010617,0.000000,0.010617,1.392138,1.008091,0.100000,0.446560
17,0.075916,0.000000,0.075916,0.010598,0.000000,0.010598,1.392462,1.007510,0.100000,0.479583
18,0.075847,0.000000,0.075847,0.010594,0.000000,0.010594,1.392106,1.007135,0.100000,0.490155
19,0.075803,0.000000,0.075803,0.010593,0.000000,0.010593,1.392210,1.007054,0.100000,0.494903
20,0.075759,0.000000,0.075759,0.010593,0.000000,0.010593,1.392165,1.006894,0.100000,0.488932
21,0.075730,0.000000,0.075730,0.010587,0.000000,0.010587,1.391964,1.006793,0.100000,0.488762
22,0.075670,0.000000,0.075670,0.010574,0.000000,0.010574,1.392603,1.006265,0.100000,0.487554
23,0.075624,0.000000,0.075624,0.010561,0.000000,0.010561,1.392337,1.005646,0.100000,0.489111
24,0.075554,0.000000,0.075554,0.010543,0.000000,0.010543,1.392170,1.004620,0.100000,0.586469
25,0.075486,0.000000,0.075486,0.010514,0.000000,0.010514,1.392170,1.003493,0.100000,0.493120
26,0.075429,0.000000,0.075429,0.010492,0.000000,0.010492,1.392256,1.002130,0.100000,0.451229
27,0.075363,0.000000,0.075363,0.010465,0.000000,0.010465,1.391846,1.000797,0.100000,0.448644
28,0.075308,0.000000,0.075308,0.010443,0.000000,0.010443,1.392050,0.999759,0.100000,0.494676
29,0.075260,0.000000,0.075260,0.010424,0.000000,0.010424,1.392063,0.998965,0.100000,0.485951
30,0.075209,0.000000,0.075209,0.010414,0.000000,0.010414,1.392377,0.998388,0.100000,0.482571
31,0.075148,0.000000,0.075148,0.010404,0.000000,0.010404,1.392208,0.997968,0.100000,0.482076
32,0.075090,0.000000,0.075090,0.010397,0.000000,0.010397,1.392156,0.997696,0.100000,0.438032
33,0.075026,0.000000,0.075026,0.010395,0.000000,0.010395,1.392016,0.997407,0.100000,0.457764
34,0.074963,0.000000,0.074963,0.010392,0.000000,0.010392,1.392245,0.997406,0.100000,0.481997
35,0.074904,0.000000,0.074904,0.010391,0.000000,0.010391,1.392233,0.997310,0.100000,0.484140
36,0.074831,0.000000,0.074831,0.010384,0.000000,0.010384,1.392203,0.997030,0.100000,0.488515
37,0.074766,0.000000,0.074766,0.010381,0.000000,0.010381,1.392176,0.996669,0.100000,0.464268
38,0.074698,0.000000,0.074698,0.010367,0.000000,0.010367,1.392573,0.996132,0.100000,0.443044
39,0.074640,0.000000,0.074640,0.010358,0.000000,0.010358,1.391894,0.995507,0.100000,0.448792
40,0.074560,0.000000,0.074560,0.010340,0.000000,0.010340,1.391911,0.994869,0.100000,0.460829
41,0.074499,0.000000,0.074499,0.010322,0.000000,0.010322,1.392443,0.993882,0.100000,0.490698
42,0.074417,0.000000,0.074417,0.010301,0.000000,0.010301,1.392194,0.993143,0.100000,0.489933
43,0.074344,0.000000,0.074344,0.010285,0.000000,0.010285,1.392419,0.992479,0.100000,0.491158
44,0.074267,0.000000,0.074267,0.010272,0.000000,0.010272,1.392381,0.991584,0.100000,0.452076
45,0.074184,0.000000,0.074184,0.010257,0.000000,0.010257,1.392238,0.990976,0.100000,0.493510
46,0.074101,0.000000,0.074101,0.010243,0.000000,0.010243,1.392240,0.990239,0.100000,0.489932
47,0.074011,0.000000,0.074011,0.010233,0.000000,0.010233,1.392272,0.989552,0.100000,0.489929
48,0.073929,0.000000,0.073929,0.010210,0.000000,0.010210,1.392063,0.988593,0.100000,0.489547
49,0.073844,0.000000,0.073844,0.010194,0.000000,0.010194,1.392032,0.987706,0.100000,0.449752
50,0.073758,0.000000,0.073758,0.010165,0.000000,0.010165,1.392212,0.986661,0.100000,0.453879
