epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.100634,0.000000,0.100634,0.010687,0.000000,0.010687,1.400200,1.011474,0.100000,0.603425
2,0.084635,0.000000,0.084635,0.010384,0.000000,0.010384,1.400200,0.997016,0.100000,0.433721
3,0.078371,0.000000,0.078371,0.010660,0.000000,0.010660,1.400200,1.010193,0.100000,0.526280
4,0.076992,0.000000,0.076992,0.010788,0.000000,0.010788,1.400200,1.016248,0.100000,0.493989
5,0.076673,0.000000,0.076673,0.010817,0.000000,0.010817,1.400200,1.017618,0.100000,0.524807
6,0.076534,0.000000,0.076534,0.010822,0.000000,0.010822,1.400200,1.017848,0.100000,0.450035
7,0.076459,0.000000,0.076459,0.010816,0.000000,0.010816,1.400200,1.017560,0.100000,0.498238
8,0.076417,0.000000,0.076417,0.010804,0.000000,0.010804,1.400200,1.016976,0.100000,0.475265
9,0.076387,0.000000,0.076387,0.010790,0.000000,0.010790,1.400200,1.016327,0.100000,0.494954
10,0.076363,0.000000,0.076363,0.010779,0.000000,0.010779,1.400200,1.015803,0.100000,0.511038
11,0.076339,0.000000,0.076339,0.010772,0.000000,0.010772,1.400200,1.015485,0.100000,0.524303
12,0.076314,0.000000,0.076314,0.010768,0.000000,0.010768,1.400200,1.015278,0.100000,0.485274
13,0.076286,0.000000,0.076286,0.010761,0.000000,0.010761,1.400200,1.014988,0.100000,0.496585
14,0.076256,0.000000,0.076256,0.010751,0.000000,0.010751,1.400200,1.014480,0.100000,0.516080
15,0.076222,0.000000,0.076222,0.010734,0.000000,0.010734,1.400200,1.013683,0.100000,0.488353
16,0.076182,0.000000,0.076182,0.010710,0.000000,0.010710,1.400200,1.012573,0.100000,0.703825
17,0.076141,0.000000,0.076141,0.010689,0.000000,0.010689,1.400200,1.011573,0.100000,0.507382
18,0.076105,0.000000,0.076105,0.010677,0.000000,0.010677,1.400200,1.010977,0.100000,0.506282
19,0.076076,0.000000,0.076076,0.010671,0.000000,0.010671,1.400200,1.010720,0.100000,0.507653
20,0.076053,0.000000,0.076053,0.010668,0.000000,0.010668,1.400200,1.010559,0.100000,0.454626
21,0.076030,0.000000,0.076030,0.010663,0.000000,0.010663,1.400200,1.010340,0.100000,0.439505
22,0.076000,0.000000,0.076000,0.010657,0.000000,0.010657,1.400200,1.010062,0.100000,0.441638
23,0.075963,0.000000,0.075963,0.010651,0.000000,0.010651,1.400200,1.009758,0.100000,0.437798
24,0.075917,0.000000,0.075917,0.010645,0.000000,0.010645,1.400200,1.009465,0.100000,0.607053
25,0.075864,0.000000,0.075864,0.010636,0.000000,0.010636,1.400200,1.009064,0.100000,0.442336
26,0.075810,0.000000,0.075810,0.010621,0.000000,0.010621,1.400200,1.008358,0.100000,0.589629
27,0.075760,0.000000,0.075760,0.010598,0.000000,0.010598,1.400200,1.007272,0.100000,0.537685
28,0.075715,0.000000,0.075715,0.010577,0.000000,0.010577,1.400200,1.006237,0.100000,0.480248
29,0.075683,0.000000,0.075683,0.010566,0.000000,0.010566,1.400200,1.005749,0.100000,0.483345
30,0.075660,0.000000,0.075660,0.010562,0.000000,0.010562,1.400200,1.005524,0.100000,0.546804
31,0.075633,0.000000,0.075633,0.010558,0.000000,0.010558,1.400200,1.005343,0.100000,0.487258
32,0.075598,0.000000,0.075598,0.010554,0.000000,0.010554,1.400200,1.005174,0.100000,0.474580
33,0.075557,0.000000,0.075557,0.010552,0.000000,0.010552,1.400200,1.005055,0.100000,0.462004
34,0.075513,0.000000,0.075513,0.010551,0.000000,0.010551,1.400200,1.004992,0.100000,0.486192
35,0.075470,0.000000,0.075470,0.010551,0.000000,0.010551,1.400200,1.004996,0.100000,0.535898
36,0.075429,0.000000,0.075429,0.010550,0.000000,0.010550,1.400200,1.004972,0.100000,0.502992
37,0.075391,0.000000,0.075391,0.010548,0.000000,0.010548,1.400200,1.004878,0.100000,0.511596
38,0.075353,0.000000,0.075353,0.010544,0.000000,0.010544,1.400200,1.004676,0.100000,0.481304
39,0.075314,0.000000,0.075314,0.010537,0.000000,0.010537,1.400200,1.004372,0.100000,0.512539
40,0.075273,0.000000,0.075273,0.010529,0.000000,0.010529,1.400200,1.003985,0.100000,0.581414
41,0.075230,0.000000,0.075230,0.010520,0.000000,0.010520,1.400200,1.003526,0.100000,0.509797
42,0.075184,0.000000,0.075184,0.010509,0.000000,0.010509,1.400200,1.003037,0.100000,0.550111
43,0.075138,0.000000,0.075138,0.010499,0.000000,0.010499,1.400200,1.002535,0.100000,0.746984
44,0.075090,0.000000,0.075090,0.010487,0.000000,0.010487,1.400200,1.001984,0.100000,0.463289
45,0.075041,0.000000,0.075041,0.010475,0.000000,0.010475,1.400200,1.001381,0.100000,0.445550
46,0.074988,0.000000,0.074988,0.010460,0.000000,0.010460,1.400200,1.000669,0.100000,0.440163
47,0.074934,0.000000,0.074934,0.010442,0.000000,0.010442,1.400200,0.999807,0.100000,0.444451
48,0.074875,0.000000,0.074875,0.010421,0.000000,0.010421,1.400200,0.998801,0.100000,0.446407
49,0.074813,0.000000,0.074813,0.010400,0.000000,0.010400,1.400200,0.997793,0.100000,0.443726
50,0.074750,0.000000,0.074750,0.010386,0.000000,0.010386,1.400200,0.997113,0.100000,0.579760
