epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.313285,0.000000,0.313285,0.019425,0.000000,0.019425,1.707848,1.363672,0.100000,0.691262
2,0.154364,0.000000,0.154364,0.013048,0.000000,0.013048,1.707848,1.117650,0.100000,0.572851
3,0.105400,0.000000,0.105400,0.011471,0.000000,0.011471,1.707848,1.047905,0.100000,0.538545
4,0.089052,0.000000,0.089052,0.011133,0.000000,0.011133,1.707848,1.032362,0.100000,0.621680
5,0.082838,0.000000,0.082838,0.011041,0.000000,0.011041,1.707848,1.028111,0.100000,0.911784
6,0.080273,0.000000,0.080273,0.011003,0.000000,0.011003,1.707848,1.026324,0.100000,0.607898
7,0.079007,0.000000,0.079007,0.010982,0.000000,0.010982,1.707848,1.025357,0.100000,0.501923
8,0.078314,0.000000,0.078314,0.010973,0.000000,0.010973,1.707848,1.024929,0.100000,0.465245
9,0.077901,0.000000,0.077901,0.010970,0.000000,0.010970,1.707848,1.024796,0.100000,0.473382
10,0.077626,0.000000,0.077626,0.010970,0.000000,0.010970,1.707848,1.024769,0.100000,0.613935
11,0.077441,0.000000,0.077441,0.010969,0.000000,0.010969,1.707848,1.024745,0.100000,0.558287
12,0.077308,0.000000,0.077308,0.010969,0.000000,0.010969,1.707848,1.024711,0.100000,0.540054
13,0.077211,0.000000,0.077211,0.010968,0.000000,0.010968,1.707848,1.024680,0.100000,0.557244
14,0.077136,0.000000,0.077136,0.010967,0.000000,0.010967,1.707848,1.024640,0.100000,0.658749
15,0.077076,0.000000,0.077076,0.010966,0.000000,0.010966,1.707848,1.024601,0.100000,0.539981
16,0.077025,0.000000,0.077025,0.010966,0.000000,0.010966,1.707848,1.024567,0.100000,0.518023
17,0.076981,0.000000,0.076981,0.010965,0.000000,0.010965,1.707848,1.024533,0.100000,0.499035
18,0.076943,0.000000,0.076943,0.010964,0.000000,0.010964,1.707848,1.024498,0.100000,0.455623
19,0.076910,0.000000,0.076910,0.010963,0.000000,0.010963,1.707848,1.024462,0.100000,0.448927
20,0.076880,0.000000,0.076880,0.010962,0.000000,0.010962,1.707848,1.024426,0.100000,0.449050
21,0.076852,0.000000,0.076852,0.010962,0.000000,0.010962,1.707848,1.024390,0.100000,0.449194
22,0.076828,0.000000,0.076828,0.010961,0.000000,0.010961,1.707848,1.024352,0.100000,0.449345
23,0.076806,0.000000,0.076806,0.010960,0.000000,0.010960,1.707848,1.024316,0.100000,0.491679
24,0.076785,0.000000,0.076785,0.010959,0.000000,0.010959,1.707848,1.024279,0.100000,0.450385
25,0.076766,0.000000,0.076766,0.010959,0.000000,0.010959,1.707848,1.024241,0.100000,0.455325
26,0.076747,0.000000,0.076747,0.010958,0.000000,0.010958,1.707848,1.024203,0.100000,0.451177
27,0.076731,0.000000,0.076731,0.010957,0.000000,0.010957,1.707848,1.024167,0.100000,0.453670
28,0.076715,0.000000,0.076715,0.010956,0.000000,0.010956,1.707848,1.024130,0.100000,0.456935
29,0.076700,0.000000,0.076700,0.010955,0.000000,0.010955,1.707848,1.024094,0.100000,0.452341
30,0.076686,0.000000,0.076686,0.010955,0.000000,0.010955,1.707848,1.024055,0.100000,0.581043
31,0.076671,0.000000,0.076671,0.010954,0.000000,0.010954,1.707848,1.024016,0.100000,0.637068
32,0.076656,0.000000,0.076656,0.010953,0.000000,0.010953,1.707848,1.023978,0.100000,0.637849
33,0.076642,0.000000,0.076642,0.010952,0.000000,0.010952,1.707848,1.023943,0.100000,0.640415
34,0.076628,0.000000,0.076628,0.010952,0.000000,0.010952,1.707848,1.023913,0.100000,0.639511
35,0.076614,0.000000,0.076614,0.010951,0.000000,0.010951,1.707848,1.023886,0.100000,0.639167
36,0.076600,0.000000,0.076600,0.010950,0.000000,0.010950,1.707848,1.023865,0.100000,0.639980
37,0.076586,0.000000,0.076586,0.010950,0.000000,0.010950,1.707848,1.023856,0.100000,0.638036
38,0.076573,0.000000,0.076573,0.010950,0.000000,0.010950,1.707848,1.023852,0.100000,0.691069
39,0.076560,0.000000,0.076560,0.010950,0.000000,0.010950,1.707848,1.023842,0.100000,0.637179
40,0.076546,0.000000,0.076546,0.010950,0.000000,0.010950,1.707848,1.023829,0.100000,0.460604
41,0.076533,0.000000,0.076533,0.010950,0.000000,0.010950,1.707848,1.023820,0.100000,0.452137
42,0.076520,0.000000,0.076520,0.010949,0.000000,0.010949,1.707848,1.023817,0.100000,0.454623
43,0.076507,0.000000,0.076507,0.010949,0.000000,0.010949,1.707848,1.023818,0.100000,0.452590
44,0.076493,0.000000,0.076493,0.010950,0.000000,0.010950,1.707848,1.023825,0.100000,0.451965
45,0.076479,0.000000,0.076479,0.010950,0.000000,0.010950,1.707848,1.023841,0.100000,0.452740
46,0.076465,0.000000,0.076465,0.010950,0.000000,0.010950,1.707848,1.023847,0.100000,0.453014
47,0.076451,0.000000,0.076451,0.010950,0.000000,0.010950,1.707848,1.023842,0.100000,0.499734
48,0.076437,0.000000,0.076437,0.010950,0.000000,0.010950,1.707848,1.023842,0.100000,0.453258
49,0.076423,0.000000,0.076423,0.010950,0.000000,0.010950,1.707848,1.023832,0.100000,0.449385
50,0.076408,0.000000,0.076408,0.010949,0.000000,0.010949,1.707848,1.023804,0.100000,0.449725
