epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.077062,0.000000,0.077062,0.010372,0.000000,0.010372,1.058764,0.996436,0.100000,0.455730
2,0.076321,0.000000,0.076321,0.009803,0.000000,0.009803,1.058764,0.968720,0.100000,0.455764
3,0.075357,0.000000,0.075357,0.009212,0.000000,0.009212,1.058764,0.939066,0.100000,0.452932
4,0.074299,0.000000,0.074299,0.008696,0.000000,0.008696,1.058764,0.912385,0.100000,0.457090
5,0.073280,0.000000,0.073280,0.008311,0.000000,0.008311,1.058764,0.891983,0.100000,0.461174
6,0.072393,0.000000,0.072393,0.008061,0.000000,0.008061,1.058764,0.878434,0.100000,0.451750
7,0.071677,0.000000,0.071677,0.007912,0.000000,0.007912,1.058764,0.870314,0.100000,0.456400
8,0.071122,0.000000,0.071122,0.007828,0.000000,0.007828,1.058764,0.865659,0.100000,0.459435
9,0.070692,0.000000,0.070692,0.007778,0.000000,0.007778,1.058764,0.862874,0.100000,0.465396
10,0.070347,0.000000,0.070347,0.007745,0.000000,0.007745,1.058764,0.861076,0.100000,0.465726
11,0.070055,0.000000,0.070055,0.007725,0.000000,0.007725,1.058764,0.859932,0.100000,0.467370
12,0.069797,0.000000,0.069797,0.007711,0.000000,0.007711,1.058764,0.859195,0.100000,0.475628
13,0.069559,0.000000,0.069559,0.007699,0.000000,0.007699,1.058764,0.858487,0.100000,0.470920
14,0.069328,0.000000,0.069328,0.007681,0.000000,0.007681,1.058764,0.857503,0.100000,0.467530
15,0.069094,0.000000,0.069094,0.007658,0.000000,0.007658,1.058764,0.856205,0.100000,0.465566
16,0.068858,0.000000,0.068858,0.007631,0.000000,0.007631,1.058764,0.854731,0.100000,0.464128
17,0.068623,0.000000,0.068623,0.007604,0.000000,0.007604,1.058764,0.853196,0.100000,0.501665
18,0.068393,0.000000,0.068393,0.007577,0.000000,0.007577,1.058764,0.851683,0.100000,0.501205
19,0.068170,0.000000,0.068170,0.007552,0.000000,0.007552,1.058764,0.850266,0.100000,0.501148
20,0.067958,0.000000,0.067958,0.007529,0.000000,0.007529,1.058764,0.849002,0.100000,0.497480
21,0.067759,0.000000,0.067759,0.007510,0.000000,0.007510,1.058764,0.847928,0.100000,0.451071
22,0.067574,0.000000,0.067574,0.007495,0.000000,0.007495,1.058764,0.847043,0.100000,0.451245
23,0.067401,0.000000,0.067401,0.007482,0.000000,0.007482,1.058764,0.846304,0.100000,0.455044
24,0.067236,0.000000,0.067236,0.007470,0.000000,0.007470,1.058764,0.845657,0.100000,0.461654
25,0.067078,0.000000,0.067078,0.007460,0.000000,0.007460,1.058764,0.845064,0.100000,0.458947
26,0.066923,0.000000,0.066923,0.007450,0.000000,0.007450,1.058764,0.844503,0.100000,0.454295
27,0.066774,0.000000,0.066774,0.007440,0.000000,0.007440,1.058764,0.843964,0.100000,0.452472
28,0.066630,0.000000,0.066630,0.007431,0.000000,0.007431,1.058764,0.843448,0.100000,0.459513
29,0.066493,0.000000,0.066493,0.007423,0.000000,0.007423,1.058764,0.842966,0.100000,0.462238
30,0.066364,0.000000,0.066364,0.007415,0.000000,0.007415,1.058764,0.842523,0.100000,0.456445
31,0.066243,0.000000,0.066243,0.007408,0.000000,0.007408,1.058764,0.842114,0.100000,0.458228
32,0.066127,0.000000,0.066127,0.007401,0.000000,0.007401,1.058764,0.841722,0.100000,0.456910
33,0.066017,0.000000,0.066017,0.007394,0.000000,0.007394,1.058764,0.841332,0.100000,0.458071
34,0.065910,0.000000,0.065910,0.007387,0.000000,0.007387,1.058764,0.840936,0.100000,0.460600
35,0.065807,0.000000,0.065807,0.007380,0.000000,0.007380,1.058764,0.840534,0.100000,0.457548
36,0.065705,0.000000,0.065705,0.007373,0.000000,0.007373,1.058764,0.840129,0.100000,0.453608
37,0.065605,0.000000,0.065605,0.007366,0.000000,0.007366,1.058764,0.839730,0.100000,0.454756
38,0.065506,0.000000,0.065506,0.007359,0.000000,0.007359,1.058764,0.839341,0.100000,0.454993
39,0.065408,0.000000,0.065408,0.007353,0.000000,0.007353,1.058764,0.838965,0.100000,0.479588
40,0.065310,0.000000,0.065310,0.007346,0.000000,0.007346,1.058764,0.838605,0.100000,0.459556
41,0.065212,0.000000,0.065212,0.007340,0.000000,0.007340,1.058764,0.838262,0.100000,0.453972
42,0.065116,0.000000,0.065116,0.007334,0.000000,0.007334,1.058764,0.837937,0.100000,0.467837
43,0.065021,0.000000,0.065021,0.007329,0.000000,0.007329,1.058764,0.837629,0.100000,0.453712
44,0.064927,0.000000,0.064927,0.007324,0.000000,0.007324,1.058764,0.837335,0.100000,0.457707
45,0.064835,0.000000,0.064835,0.007319,0.000000,0.007319,1.058764,0.837044,0.100000,0.455939
46,0.064744,0.000000,0.064744,0.007314,0.000000,0.007314,1.058764,0.836749,0.100000,0.454811
47,0.064654,0.000000,0.064654,0.007309,0.000000,0.007309,1.058764,0.836451,0.100000,0.455244
48,0.064566,0.000000,0.064566,0.007303,0.000000,0.007303,1.058764,0.836155,0.100000,0.453568
49,0.064480,0.000000,0.064480,0.007298,0.000000,0.007298,1.058764,0.835870,0.100000,0.453925
50,0.064396,0.000000,0.064396,0.007294,0.000000,0.007294,1.058764,0.835601,0.100000,0.505006
