epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.044026,0.044026,0.000000,0.004561,0.004561,0.000000,1.032298,1.086427,0.100000,3.674630
2,0.035618,0.035618,0.000000,0.004622,0.004622,0.000000,1.039281,1.086427,0.100000,3.359312
3,0.035638,0.035638,0.000000,0.004620,0.004620,0.000000,1.039022,1.086427,0.100000,3.278424
4,0.035611,0.035611,0.000000,0.004605,0.004605,0.000000,1.037348,1.086427,0.100000,3.444312
5,0.035571,0.035571,0.000000,0.004589,0.004589,0.000000,1.035547,1.086427,0.100000,3.144696
6,0.035531,0.035531,0.000000,0.004581,0.004581,0.000000,1.034657,1.086427,0.100000,3.046206
7,0.035482,0.035482,0.000000,0.004567,0.004567,0.000000,1.033011,1.086427,0.100000,3.335175
8,0.035432,0.035432,0.000000,0.004554,0.004554,0.000000,1.031532,1.086427,0.100000,3.189720
9,0.035384,0.035384,0.000000,0.004545,0.004545,0.000000,1.030539,1.086427,0.100000,3.333890
10,0.035328,0.035328,0.000000,0.004538,0.004538,0.000000,1.029722,1.086427,0.100000,3.215954
11,0.035271,0.035271,0.000000,0.004530,0.004530,0.000000,1.028761,1.086427,0.100000,3.450121
12,0.035208,0.035208,0.000000,0.004519,0.004519,0.000000,1.027578,1.086427,0.100000,3.196676
13,0.035141,0.035141,0.000000,0.004508,0.004508,0.000000,1.026308,1.086427,0.100000,3.301436
14,0.035071,0.035071,0.000000,0.004496,0.004496,0.000000,1.024943,1.086427,0.100000,3.321375
15,0.034998,0.034998,0.000000,0.004484,0.004484,0.000000,1.023572,1.086427,0.100000,3.214876
16,0.034920,0.034920,0.000000,0.004473,0.004473,0.000000,1.022296,1.086427,0.100000,3.044354
17,0.034840,0.034840,0.000000,0.004462,0.004462,0.000000,1.021064,1.086427,0.100000,3.266952
18,0.034755,0.034755,0.000000,0.004450,0.004450,0.000000,1.019656,1.086427,0.100000,3.166418
19,0.034667,0.034667,0.000000,0.004434,0.004434,0.000000,1.017820,1.086427,0.100000,3.217094
20,0.034581,0.034581,0.000000,0.004422,0.004422,0.000000,1.016415,1.086427,0.100000,3.310734
21,0.034492,0.034492,0.000000,0.004411,0.004411,0.000000,1.015176,1.086427,0.100000,3.083681
22,0.034402,0.034402,0.000000,0.004400,0.004400,0.000000,1.013822,1.086427,0.100000,3.104991
23,0.034311,0.034311,0.000000,0.004386,0.004386,0.000000,1.012199,1.086427,0.100000,3.240436
24,0.034220,0.034220,0.000000,0.004371,0.004371,0.000000,1.010497,1.086427,0.100000,3.062971
25,0.034129,0.034129,0.000000,0.004358,0.004358,0.000000,1.008976,1.086427,0.100000,3.268312
26,0.034037,0.034037,0.000000,0.004347,0.004347,0.000000,1.007701,1.086427,0.100000,3.282925
27,0.033946,0.033946,0.000000,0.004336,0.004336,0.000000,1.006491,1.086427,0.100000,3.262952
28,0.033855,0.033855,0.000000,0.004326,0.004326,0.000000,1.005232,1.086427,0.100000,3.284514
29,0.033764,0.033764,0.000000,0.004313,0.004313,0.000000,1.003797,1.086427,0.100000,3.282123
30,0.033673,0.033673,0.000000,0.004299,0.004299,0.000000,1.002196,1.086427,0.100000,3.268519
31,0.033584,0.033584,0.000000,0.004287,0.004287,0.000000,1.000796,1.086427,0.100000,3.292010
32,0.033496,0.033496,0.000000,0.004276,0.004276,0.000000,0.999448,1.086427,0.100000,3.351678
33,0.033408,0.033408,0.000000,0.004265,0.004265,0.000000,0.998148,1.086427,0.100000,3.331552
34,0.033321,0.033321,0.000000,0.004254,0.004254,0.000000,0.996831,1.086427,0.100000,3.318676
35,0.033234,0.033234,0.000000,0.004242,0.004242,0.000000,0.995443,1.086427,0.100000,3.192008
36,0.033147,0.033147,0.000000,0.004228,0.004228,0.000000,0.993864,1.086427,0.100000,3.197597
37,0.033061,0.033061,0.000000,0.004214,0.004214,0.000000,0.992135,1.086427,0.100000,3.183207
38,0.032976,0.032976,0.000000,0.004201,0.004201,0.000000,0.990684,1.086427,0.100000,3.483193
39,0.032892,0.032892,0.000000,0.004190,0.004190,0.000000,0.989334,1.086427,0.100000,3.318851
40,0.032808,0.032808,0.000000,0.004178,0.004178,0.000000,0.987974,1.086427,0.100000,3.306895
41,0.032724,0.032724,0.000000,0.004166,0.004166,0.000000,0.986557,1.086427,0.100000,3.286638
42,0.032641,0.032641,0.000000,0.004154,0.004154,0.000000,0.985099,1.086427,0.100000,3.255936
43,0.032558,0.032558,0.000000,0.004141,0.004141,0.000000,0.983587,1.086427,0.100000,3.394962
44,0.032476,0.032476,0.000000,0.004129,0.004129,0.000000,0.982111,1.086427,0.100000,3.314797
45,0.032394,0.032394,0.000000,0.004116,0.004116,0.000000,0.980663,1.086427,0.100000,3.150844
46,0.032313,0.032313,0.000000,0.004104,0.004104,0.000000,0.979216,1.086427,0.100000,3.187681
47,0.032232,0.032232,0.000000,0.004092,0.004092,0.000000,0.977731,1.086427,0.100000,3.225129
48,0.032151,0.032151,0.000000,0.004079,0.004079,0.000000,0.976165,1.086427,0.100000,3.155467
49,0.032070,0.032070,0.000000,0.004065,0.004065,0.000000,0.974574,1.086427,0.100000,3.193947
50,0.031990,0.031990,0.000000,0.004054,0.004054,0.000000,0.973183,1.086427,0.100000,3.192672
