epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.040674,0.000000,0.040674,0.004733,0.000000,0.004733,1.337617,0.976888,0.100000,4.329043
2,0.034451,0.000000,0.034451,0.004628,0.000000,0.004628,1.337617,0.966148,0.100000,3.947309
3,0.033827,0.000000,0.033827,0.004566,0.000000,0.004566,1.337617,0.959783,0.100000,3.918054
4,0.033517,0.000000,0.033517,0.004557,0.000000,0.004557,1.337617,0.958805,0.100000,4.908678
5,0.033346,0.000000,0.033346,0.004539,0.000000,0.004539,1.337617,0.956932,0.100000,4.260580
6,0.033244,0.000000,0.033244,0.004525,0.000000,0.004525,1.337617,0.955502,0.100000,4.454262
7,0.033163,0.000000,0.033163,0.004514,0.000000,0.004514,1.337617,0.954315,0.100000,4.416437
8,0.033089,0.000000,0.033089,0.004508,0.000000,0.004508,1.337617,0.953627,0.100000,3.800045
9,0.033023,0.000000,0.033023,0.004502,0.000000,0.004502,1.337617,0.953066,0.100000,4.573091
10,0.032953,0.000000,0.032953,0.004495,0.000000,0.004495,1.337617,0.952240,0.100000,3.928261
11,0.032886,0.000000,0.032886,0.004487,0.000000,0.004487,1.337617,0.951407,0.100000,4.766901
12,0.032821,0.000000,0.032821,0.004480,0.000000,0.004480,1.337617,0.950669,0.100000,4.345856
13,0.032759,0.000000,0.032759,0.004463,0.000000,0.004463,1.337617,0.948885,0.100000,4.364971
14,0.032685,0.000000,0.032685,0.004446,0.000000,0.004446,1.337617,0.947024,0.100000,4.624115
15,0.032612,0.000000,0.032612,0.004433,0.000000,0.004433,1.337617,0.945643,0.100000,4.287753
16,0.032540,0.000000,0.032540,0.004422,0.000000,0.004422,1.337617,0.944412,0.100000,4.567404
17,0.032466,0.000000,0.032466,0.004414,0.000000,0.004414,1.337617,0.943541,0.100000,4.407013
18,0.032395,0.000000,0.032395,0.004405,0.000000,0.004405,1.337617,0.942595,0.100000,4.189507
19,0.032329,0.000000,0.032329,0.004393,0.000000,0.004393,1.337617,0.941284,0.100000,4.465650
20,0.032256,0.000000,0.032256,0.004380,0.000000,0.004380,1.337617,0.939851,0.100000,4.119725
21,0.032178,0.000000,0.032178,0.004365,0.000000,0.004365,1.337617,0.938253,0.100000,4.333247
22,0.032099,0.000000,0.032099,0.004352,0.000000,0.004352,1.337617,0.936801,0.100000,4.307978
23,0.032019,0.000000,0.032019,0.004341,0.000000,0.004341,1.337617,0.935621,0.100000,3.913024
24,0.031942,0.000000,0.031942,0.004329,0.000000,0.004329,1.337617,0.934273,0.100000,4.239418
25,0.031862,0.000000,0.031862,0.004319,0.000000,0.004319,1.337617,0.933192,0.100000,5.016252
26,0.031782,0.000000,0.031782,0.004307,0.000000,0.004307,1.337617,0.931885,0.100000,4.468924
27,0.031701,0.000000,0.031701,0.004295,0.000000,0.004295,1.337617,0.930651,0.100000,4.423404
28,0.031622,0.000000,0.031622,0.004284,0.000000,0.004284,1.337617,0.929416,0.100000,3.969520
29,0.031542,0.000000,0.031542,0.004270,0.000000,0.004270,1.337617,0.927853,0.100000,4.342220
30,0.031460,0.000000,0.031460,0.004258,0.000000,0.004258,1.337617,0.926579,0.100000,5.546016
31,0.031381,0.000000,0.031381,0.004250,0.000000,0.004250,1.337617,0.925666,0.100000,5.891316
32,0.031302,0.000000,0.031302,0.004241,0.000000,0.004241,1.337617,0.924678,0.100000,4.922602
33,0.031225,0.000000,0.031225,0.004233,0.000000,0.004233,1.337617,0.923788,0.100000,3.894850
34,0.031150,0.000000,0.031150,0.004220,0.000000,0.004220,1.337617,0.922392,0.100000,4.570784
35,0.031073,0.000000,0.031073,0.004207,0.000000,0.004207,1.337617,0.920976,0.100000,4.143236
36,0.030993,0.000000,0.030993,0.004197,0.000000,0.004197,1.337617,0.919821,0.100000,4.710231
37,0.030919,0.000000,0.030919,0.004188,0.000000,0.004188,1.337617,0.918771,0.100000,4.250454
38,0.030846,0.000000,0.030846,0.004178,0.000000,0.004178,1.337617,0.917663,0.100000,4.660636
39,0.030774,0.000000,0.030774,0.004168,0.000000,0.004168,1.337617,0.916572,0.100000,4.428192
40,0.030702,0.000000,0.030702,0.004154,0.000000,0.004154,1.337617,0.915047,0.100000,5.475808
41,0.030633,0.000000,0.030633,0.004143,0.000000,0.004143,1.337617,0.913787,0.100000,4.406682
42,0.030563,0.000000,0.030563,0.004133,0.000000,0.004133,1.337617,0.912702,0.100000,4.329516
43,0.030495,0.000000,0.030495,0.004126,0.000000,0.004126,1.337617,0.911884,0.100000,4.189291
44,0.030428,0.000000,0.030428,0.004118,0.000000,0.004118,1.337617,0.911042,0.100000,4.494074
45,0.030361,0.000000,0.030361,0.004107,0.000000,0.004107,1.337617,0.909789,0.100000,4.188764
46,0.030291,0.000000,0.030291,0.004097,0.000000,0.004097,1.337617,0.908622,0.100000,4.966241
47,0.030229,0.000000,0.030229,0.004087,0.000000,0.004087,1.337617,0.907537,0.100000,4.317537
48,0.030164,0.000000,0.030164,0.004078,0.000000,0.004078,1.337617,0.906437,0.100000,5.054699
49,0.030101,0.000000,0.030101,0.004068,0.000000,0.004068,1.337617,0.905332,0.100000,4.398967
50,0.030040,0.000000,0.030040,0.004058,0.000000,0.004058,1.337617,0.904245,0.100000,4.015628
