epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.118584,0.000000,0.118584,0.007122,0.000000,0.007122,2.528196,1.193458,0.100000,5.619685
2,0.050458,0.000000,0.050458,0.005089,0.000000,0.005089,2.528196,1.009915,0.100000,5.105623
3,0.038501,0.000000,0.038501,0.004293,0.000000,0.004293,2.528196,0.928453,0.100000,5.003980
4,0.033683,0.000000,0.033683,0.003989,0.000000,0.003989,2.528196,0.895350,0.100000,5.582418
5,0.031444,0.000000,0.031444,0.003832,0.000000,0.003832,2.528196,0.877719,0.100000,5.185015
6,0.030225,0.000000,0.030225,0.003752,0.000000,0.003752,2.528196,0.868661,0.100000,5.874872
7,0.029518,0.000000,0.029518,0.003707,0.000000,0.003707,2.528196,0.863484,0.100000,4.907683
8,0.029034,0.000000,0.029034,0.003672,0.000000,0.003672,2.528196,0.859421,0.100000,5.591876
9,0.028663,0.000000,0.028663,0.003642,0.000000,0.003642,2.528196,0.855897,0.100000,4.949193
10,0.028358,0.000000,0.028358,0.003615,0.000000,0.003615,2.528196,0.852684,0.100000,5.280942
11,0.028096,0.000000,0.028096,0.003590,0.000000,0.003590,2.528196,0.849789,0.100000,5.248155
12,0.027869,0.000000,0.027869,0.003568,0.000000,0.003568,2.528196,0.847174,0.100000,5.479332
13,0.027670,0.000000,0.027670,0.003550,0.000000,0.003550,2.528196,0.844944,0.100000,5.175997
14,0.027493,0.000000,0.027493,0.003534,0.000000,0.003534,2.528196,0.843108,0.100000,5.127832
15,0.027333,0.000000,0.027333,0.003521,0.000000,0.003521,2.528196,0.841549,0.100000,5.054660
16,0.027184,0.000000,0.027184,0.003510,0.000000,0.003510,2.528196,0.840156,0.100000,5.646671
17,0.027045,0.000000,0.027045,0.003499,0.000000,0.003499,2.528196,0.838910,0.100000,5.063816
18,0.026914,0.000000,0.026914,0.003490,0.000000,0.003490,2.528196,0.837829,0.100000,5.553035
19,0.026791,0.000000,0.026791,0.003482,0.000000,0.003482,2.528196,0.836793,0.100000,5.155461
20,0.026672,0.000000,0.026672,0.003473,0.000000,0.003473,2.528196,0.835772,0.100000,5.713960
21,0.026559,0.000000,0.026559,0.003465,0.000000,0.003465,2.528196,0.834817,0.100000,4.923830
22,0.026450,0.000000,0.026450,0.003458,0.000000,0.003458,2.528196,0.833936,0.100000,5.604156
23,0.026346,0.000000,0.026346,0.003451,0.000000,0.003451,2.528196,0.833065,0.100000,5.338519
24,0.026244,0.000000,0.026244,0.003444,0.000000,0.003444,2.528196,0.832186,0.100000,5.403090
25,0.026144,0.000000,0.026144,0.003437,0.000000,0.003437,2.528196,0.831342,0.100000,4.827250
26,0.026047,0.000000,0.026047,0.003430,0.000000,0.003430,2.528196,0.830598,0.100000,5.292346
27,0.025952,0.000000,0.025952,0.003424,0.000000,0.003424,2.528196,0.829857,0.100000,5.118368
28,0.025859,0.000000,0.025859,0.003418,0.000000,0.003418,2.528196,0.829134,0.100000,5.638044
29,0.025767,0.000000,0.025767,0.003413,0.000000,0.003413,2.528196,0.828445,0.100000,5.139385
30,0.025677,0.000000,0.025677,0.003407,0.000000,0.003407,2.528196,0.827725,0.100000,5.295878
31,0.025588,0.000000,0.025588,0.003401,0.000000,0.003401,2.528196,0.826980,0.100000,5.105768
32,0.025499,0.000000,0.025499,0.003394,0.000000,0.003394,2.528196,0.826198,0.100000,5.538068
33,0.025412,0.000000,0.025412,0.003388,0.000000,0.003388,2.528196,0.825359,0.100000,4.894664
34,0.025324,0.000000,0.025324,0.003381,0.000000,0.003381,2.528196,0.824508,0.100000,6.062325
35,0.025237,0.000000,0.025237,0.003374,0.000000,0.003374,2.528196,0.823708,0.100000,4.952195
36,0.025151,0.000000,0.025151,0.003368,0.000000,0.003368,2.528196,0.822924,0.100000,5.108380
37,0.025065,0.000000,0.025065,0.003361,0.000000,0.003361,2.528196,0.822084,0.100000,5.085696
38,0.024979,0.000000,0.024979,0.003354,0.000000,0.003354,2.528196,0.821213,0.100000,5.229776
39,0.024893,0.000000,0.024893,0.003346,0.000000,0.003346,2.528196,0.820295,0.100000,5.146483
40,0.024808,0.000000,0.024808,0.003339,0.000000,0.003339,2.528196,0.819366,0.100000,5.579005
41,0.024722,0.000000,0.024722,0.003331,0.000000,0.003331,2.528196,0.818463,0.100000,5.039873
42,0.024637,0.000000,0.024637,0.003324,0.000000,0.003324,2.528196,0.817562,0.100000,5.619971
43,0.024550,0.000000,0.024550,0.003317,0.000000,0.003317,2.528196,0.816627,0.100000,5.366577
44,0.024464,0.000000,0.024464,0.003308,0.000000,0.003308,2.528196,0.815605,0.100000,5.330334
45,0.024376,0.000000,0.024376,0.003300,0.000000,0.003300,2.528196,0.814526,0.100000,5.072543
46,0.024288,0.000000,0.024288,0.003290,0.000000,0.003290,2.528196,0.813375,0.100000,5.340472
47,0.024199,0.000000,0.024199,0.003281,0.000000,0.003281,2.528196,0.812224,0.100000,4.518022
48,0.024110,0.000000,0.024110,0.003272,0.000000,0.003272,2.528196,0.811060,0.100000,5.488142
49,0.024020,0.000000,0.024020,0.003262,0.000000,0.003262,2.528196,0.809816,0.100000,4.795412
50,0.023929,0.000000,0.023929,0.003251,0.000000,0.003251,2.528196,0.808467,0.100000,6.370905
