epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,5.320788,2.775383,2.545404,1.177036,0.540868,0.636168,229.380848
2,0.655068,0.205045,0.450023,1.318232,0.647234,0.670998,226.094994
3,0.639702,0.202290,0.437413,1.322010,0.650919,0.671091,220.881778
4,0.639676,0.202282,0.437394,1.322398,0.650996,0.671402,212.920540
5,0.639539,0.202281,0.437258,1.321739,0.650986,0.670753,213.675900
6,0.639614,0.202279,0.437335,1.322495,0.650974,0.671521,218.611697
7,0.639519,0.202275,0.437244,1.322470,0.650942,0.671528,220.118454
8,0.639473,0.202270,0.437203,1.322078,0.650910,0.671168,221.279391
9,0.639463,0.202265,0.437198,1.321646,0.650882,0.670764,217.966518
10,0.639565,0.202262,0.437303,1.322119,0.650864,0.671255,218.048743
11,0.639543,0.202258,0.437285,1.322693,0.650853,0.671839,216.969853
12,0.639480,0.202256,0.437223,1.322517,0.650841,0.671676,218.466853
13,0.639546,0.202253,0.437293,1.322963,0.650809,0.672154,215.923290
14,0.639491,0.202250,0.437241,1.323059,0.650800,0.672259,210.611171
15,0.639509,0.202248,0.437261,1.323248,0.650786,0.672462,214.025190
16,0.639504,0.202246,0.437258,1.323399,0.650793,0.672606,215.082867
17,0.639500,0.202243,0.437257,1.323499,0.650776,0.672723,209.244699
18,0.639498,0.202241,0.437257,1.323581,0.650781,0.672800,214.158495
19,0.639457,0.202238,0.437220,1.323237,0.650753,0.672484,213.394510
20,0.639528,0.202234,0.437294,1.323547,0.650740,0.672807,216.840327
21,0.639481,0.202230,0.437251,1.323515,0.650742,0.672773,215.377112
22,0.639463,0.202225,0.437238,1.323485,0.650744,0.672741,216.603597
23,0.639494,0.202221,0.437274,1.323391,0.650753,0.672638,211.874161
24,0.639488,0.202216,0.437272,1.323533,0.650767,0.672766,219.742976
25,0.639446,0.202212,0.437235,1.323373,0.650784,0.672589,216.745400
26,0.639485,0.202205,0.437280,1.323593,0.650813,0.672781,211.077391
27,0.639461,0.202198,0.437264,1.323691,0.650816,0.672874,211.021335
28,0.639441,0.202186,0.437255,1.323738,0.650826,0.672912,212.981083
29,0.639434,0.202171,0.437263,1.323796,0.650818,0.672978,210.942046
30,0.639410,0.202153,0.437257,1.323636,0.650770,0.672865,204.892705
