epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,18.080660,10.228938,7.851722,10.595039,5.525776,5.069263,369.455968
2,10.889105,5.961831,4.927274,6.055416,2.950285,3.105131,370.383213
3,6.640276,3.493799,3.146477,3.573260,1.597309,1.975951,383.401958
4,4.157896,2.083352,2.074544,2.251119,0.913979,1.337139,372.735668
5,2.706370,1.277303,1.429068,1.575538,0.591408,0.984130,364.054408
6,1.856857,0.816656,1.040201,1.254383,0.458419,0.795964,383.807796
7,1.359185,0.553401,0.805784,1.122731,0.421239,0.701492,369.676409
8,1.067313,0.402952,0.664360,1.088499,0.429343,0.659156,389.959910
9,0.895924,0.316971,0.578953,1.101070,0.456158,0.644912,373.760793
10,0.795137,0.267831,0.527306,1.133290,0.488257,0.645032,384.735352
11,0.735791,0.239746,0.496045,1.171075,0.519275,0.651799,379.923431
12,0.700824,0.223695,0.477129,1.207663,0.546590,0.661073,381.023788
13,0.680100,0.214520,0.465580,1.240173,0.569444,0.670729,385.505176
14,0.667766,0.209276,0.458490,1.267686,0.587989,0.679697,378.979923
15,0.660401,0.206279,0.454122,1.290140,0.602719,0.687421,387.340328
16,0.656055,0.204565,0.451490,1.308312,0.614270,0.694042,379.054613
17,0.653391,0.203586,0.449805,1.322552,0.623233,0.699319,394.615421
18,0.651810,0.203026,0.448784,1.333862,0.630147,0.703715,393.287109
19,0.650835,0.202706,0.448129,1.342732,0.635454,0.707277,394.882801
20,0.650233,0.202523,0.447711,1.349650,0.639502,0.710148,396.647832
21,0.649841,0.202418,0.447423,1.354900,0.642598,0.712303,392.271503
22,0.649547,0.202358,0.447189,1.358597,0.644939,0.713658,393.700825
23,0.649494,0.202324,0.447170,1.361925,0.646732,0.715193,391.210784
24,0.649379,0.202303,0.447076,1.364453,0.648073,0.716380,388.870532
25,0.649258,0.202294,0.446965,1.366073,0.649116,0.716957,387.502240
26,0.649276,0.202287,0.446990,1.367628,0.649874,0.717754,389.640930
27,0.649230,0.202283,0.446947,1.368783,0.650472,0.718312,393.497604
28,0.649212,0.202281,0.446931,1.369719,0.650924,0.718795,389.771874
29,0.649190,0.202278,0.446912,1.370408,0.651243,0.719164,387.120614
30,0.649178,0.202279,0.446899,1.370949,0.651501,0.719448,385.516335
