epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,18.203674,10.304551,7.899123,10.683383,5.583172,5.100210,405.075552
2,10.981336,6.015397,4.965939,6.103621,2.980835,3.122786,398.894923
3,6.694991,3.524420,3.170570,3.599520,1.613084,1.986436,407.744901
4,4.190674,2.100853,2.089822,2.265710,0.921732,1.343979,403.546078
5,2.726313,1.287301,1.439012,1.584193,0.594899,0.989294,404.562279
6,1.869277,0.822364,1.046913,1.260242,0.459721,0.800521,405.326395
7,1.367189,0.556656,0.810532,1.127467,0.421474,0.705993,399.110457
8,1.072718,0.404805,0.667912,1.092975,0.429112,0.663862,396.668823
9,0.899794,0.318022,0.581772,1.105692,0.455765,0.649927,399.120420
10,0.798102,0.268424,0.529678,1.138233,0.487853,0.650380,390.260642
11,0.738257,0.240077,0.498179,1.176388,0.518926,0.657462,395.317109
12,0.702895,0.223876,0.479018,1.213271,0.546315,0.666955,397.561236
13,0.682019,0.214616,0.467402,1.245979,0.569246,0.676733,403.709023
14,0.669627,0.209323,0.460303,1.273593,0.587862,0.685731,399.501251
15,0.662237,0.206298,0.455939,1.296196,0.602650,0.693546,391.575322
16,0.657829,0.204568,0.453260,1.314743,0.614255,0.700488,401.678268
17,0.655084,0.203580,0.451504,1.329404,0.623261,0.706143,398.967588
18,0.653436,0.203014,0.450422,1.340903,0.630208,0.710696,399.691639
19,0.652366,0.202691,0.449675,1.349309,0.635538,0.713771,397.621353
20,0.651886,0.202506,0.449380,1.356433,0.639598,0.716835,400.186056
21,0.651433,0.202400,0.449032,1.361434,0.642711,0.718723,391.778614
22,0.651264,0.202339,0.448925,1.365803,0.645066,0.720737,396.307598
23,0.651086,0.202305,0.448781,1.369158,0.646865,0.722292,398.891386
24,0.650956,0.202284,0.448672,1.371608,0.648212,0.723395,396.379640
25,0.650855,0.202274,0.448581,1.373239,0.649258,0.723982,397.751600
26,0.650874,0.202268,0.448606,1.374832,0.650024,0.724808,386.453111
27,0.650832,0.202264,0.448568,1.376062,0.650626,0.725436,396.815643
28,0.650804,0.202262,0.448542,1.376997,0.651082,0.725915,393.840302
29,0.650781,0.202258,0.448523,1.377683,0.651402,0.726281,387.696256
30,0.650769,0.202260,0.448509,1.378220,0.651660,0.726560,323.216220
