epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,18.582092,10.490603,8.091491,11.728061,6.081998,5.646063,152.865350
2,12.604605,6.773934,5.830670,7.660255,3.667185,3.993071,166.747634
3,10.455896,4.361738,6.094158,7.075506,2.176206,4.899300,151.168049
4,8.314616,2.795799,5.518817,5.435524,1.311039,4.124485,151.548488
5,8.196236,3.491043,4.705193,5.873332,2.390167,3.483165,153.107299
6,7.281272,3.261720,4.019553,4.674310,1.721491,2.952818,153.416679
7,5.913395,2.468026,3.445369,3.771319,1.256241,2.515078,153.469245
8,4.843745,1.880224,2.963521,3.091904,0.937469,2.154435,155.723185
9,4.004018,1.444903,2.559115,2.581506,0.723581,1.857925,153.609423
10,3.342242,1.122508,2.219733,2.198989,0.584276,1.614713,152.012644
11,2.818652,0.883744,1.934908,1.913296,0.497540,1.415756,152.367862
12,2.402781,0.706917,1.695864,1.700951,0.447448,1.253503,155.033081
13,2.071198,0.575959,1.495239,1.544172,0.422519,1.121652,155.749512
14,1.805825,0.478971,1.326854,1.429488,0.414534,1.014955,153.841565
15,1.592668,0.407142,1.185526,1.346656,0.417628,0.929029,151.813396
16,1.420849,0.353945,1.066904,1.287911,0.427679,0.860232,152.062697
17,1.281885,0.314547,0.967338,1.247324,0.441795,0.805529,152.152014
18,1.169131,0.285367,0.883764,1.220392,0.457993,0.762399,152.607422
19,1.077368,0.263757,0.813611,1.203680,0.474933,0.728748,153.356639
20,1.002473,0.247752,0.754721,1.194570,0.491735,0.702835,154.306899
21,0.941183,0.235898,0.705285,1.191059,0.507837,0.683222,151.686432
22,0.890902,0.227118,0.663783,1.191628,0.522911,0.668717,153.373405
23,0.849557,0.220616,0.628941,1.195117,0.536785,0.658332,154.685513
24,0.815487,0.215799,0.599688,1.200643,0.549388,0.651255,159.559309
25,0.787358,0.212232,0.575126,1.207556,0.560740,0.646816,158.528485
26,0.764092,0.209590,0.554502,1.215341,0.570876,0.644465,156.284281
27,0.744816,0.207633,0.537183,1.223627,0.579877,0.643750,156.834158
28,0.728823,0.206183,0.522639,1.232101,0.587798,0.644303,156.112155
29,0.715534,0.205110,0.510424,1.240600,0.594777,0.645823,154.195285
30,0.704479,0.204314,0.500165,1.248958,0.600893,0.648066,154.807919
