epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,15.740128,8.905666,6.834462,7.714745,4.001567,3.713178,199.504733
2,7.673743,4.037397,3.636346,4.929218,1.612230,3.316989,199.168932
3,5.127918,1.868502,3.259416,2.676739,0.723617,1.953122,190.558446
4,3.384026,1.305948,2.078078,1.886434,0.612678,1.273756,182.371461
5,2.107156,0.753114,1.354042,1.336235,0.431749,0.904486,195.368665
6,1.380149,0.424122,0.956027,1.160570,0.432648,0.727922,213.551118
7,1.025413,0.291376,0.734038,1.131078,0.479940,0.651139,198.612973
8,0.847869,0.237807,0.610062,1.153186,0.528823,0.624363,179.704782
9,0.756889,0.216186,0.540703,1.188801,0.567476,0.621325,183.021581
10,0.709267,0.207456,0.501811,1.223557,0.595097,0.628460,218.532187
11,0.683866,0.203930,0.479935,1.252872,0.613871,0.639001,189.788724
12,0.670088,0.202505,0.467583,1.276055,0.626296,0.649759,177.909593
13,0.662499,0.201928,0.460571,1.293781,0.634391,0.659390,205.819652
14,0.658259,0.201695,0.456564,1.307077,0.639614,0.667463,197.338042
15,0.655855,0.201599,0.454256,1.316956,0.642977,0.673979,198.368683
