epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,16.789175,9.576999,7.212176,8.994761,4.832837,4.161925,181.553578
2,9.342354,5.065367,4.276988,5.699475,2.391872,3.307603,176.389709
3,6.006455,2.706116,3.300339,2.999204,1.051788,1.947416,185.923333
4,5.103734,3.156999,1.946736,3.130157,1.972113,1.158044,179.386378
5,3.696056,2.479501,1.216556,1.940815,1.100952,0.839863,209.386220
6,2.355892,1.503481,0.852411,1.384418,0.677294,0.707124,203.180259
7,1.606465,0.945696,0.660769,1.153386,0.491263,0.662123,198.351224
8,1.186643,0.626924,0.559718,1.083636,0.427347,0.656289,204.777040
9,0.951043,0.444746,0.506297,1.088932,0.422869,0.666063,214.474421
10,0.818584,0.340629,0.477955,1.125001,0.444538,0.680463,204.441741
11,0.743972,0.281125,0.462847,1.169954,0.475235,0.694720,209.190804
12,0.701859,0.247116,0.454743,1.213669,0.506624,0.707045,197.971198
13,0.678037,0.227678,0.450359,1.252044,0.535028,0.717015,196.394579
14,0.664530,0.216567,0.447962,1.283959,0.559179,0.724780,196.968957
15,0.656851,0.210217,0.446634,1.309643,0.578955,0.730688,216.949254
