epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,5.741391,5.741391,0.000000,0.638231,0.638231,0.000000,327.027154
2,0.204355,0.204355,0.000000,0.633203,0.633203,0.000000,331.096544
3,0.206360,0.206360,0.000000,0.630987,0.630987,0.000000,328.082136
4,0.219384,0.219384,0.000000,0.649237,0.649237,0.000000,322.616004
5,0.263744,0.263744,0.000000,0.738341,0.738341,0.000000,330.810537
6,0.661217,0.661217,0.000000,1.516833,1.516833,0.000000,328.848911
7,0.762317,0.762317,0.000000,3.150525,3.150525,0.000000,322.421741
8,0.811682,0.811682,0.000000,0.896338,0.896338,0.000000,324.947646
9,0.697263,0.697263,0.000000,0.944779,0.944779,0.000000,321.161281
10,0.998324,0.998324,0.000000,1.932158,1.932158,0.000000,330.092406
11,0.687019,0.687019,0.000000,0.939502,0.939502,0.000000,330.140175
12,0.750466,0.750466,0.000000,0.932871,0.932871,0.000000,328.958075
13,0.982888,0.982888,0.000000,3.775708,3.775708,0.000000,331.483547
14,0.802698,0.802698,0.000000,0.921213,0.921213,0.000000,322.234720
15,0.750774,0.750774,0.000000,1.137830,1.137830,0.000000,323.507892
16,0.829497,0.829497,0.000000,1.272074,1.272074,0.000000,326.689876
17,0.821095,0.821095,0.000000,1.757961,1.757961,0.000000,321.196471
18,0.888871,0.888871,0.000000,1.529789,1.529789,0.000000,328.474938
19,0.923132,0.923132,0.000000,1.421909,1.421909,0.000000,324.146673
20,0.784098,0.784098,0.000000,1.113425,1.113425,0.000000,322.035160
21,0.892777,0.892777,0.000000,1.088915,1.088915,0.000000,327.162423
22,0.752712,0.752712,0.000000,1.187630,1.187630,0.000000,321.769831
23,0.974106,0.974106,0.000000,3.369884,3.369884,0.000000,325.319982
24,1.030270,1.030270,0.000000,1.791733,1.791733,0.000000,332.909072
25,1.015845,1.015845,0.000000,1.508503,1.508503,0.000000,330.281646
26,0.855223,0.855223,0.000000,0.959238,0.959238,0.000000,331.854455
27,0.643311,0.643311,0.000000,1.298074,1.298074,0.000000,327.655310
28,0.926558,0.926558,0.000000,4.834853,4.834853,0.000000,330.371657
29,1.146176,1.146176,0.000000,0.896780,0.896780,0.000000,333.012875
30,0.652276,0.652276,0.000000,0.985564,0.985564,0.000000,325.779191
31,0.889040,0.889040,0.000000,1.568958,1.568958,0.000000,329.667394
32,0.835320,0.835320,0.000000,0.817017,0.817017,0.000000,327.666159
33,0.910517,0.910517,0.000000,2.349062,2.349062,0.000000,328.483392
34,0.747945,0.747945,0.000000,1.810354,1.810354,0.000000,324.778774
35,0.856072,0.856072,0.000000,0.938308,0.938308,0.000000,331.560268
36,0.995500,0.995500,0.000000,1.568811,1.568811,0.000000,332.822819
37,0.906395,0.906395,0.000000,0.969260,0.969260,0.000000,323.279103
38,0.912545,0.912545,0.000000,1.048946,1.048946,0.000000,326.187871
39,0.949064,0.949064,0.000000,1.297647,1.297647,0.000000,328.212767
40,0.856431,0.856431,0.000000,1.546860,1.546860,0.000000,325.967064
