epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,12.158735,12.158735,0.000000,8.865687,8.865687,0.000000,173.558038
2,11.180803,11.180803,0.000000,8.061670,8.061670,0.000000,176.317030
3,10.280418,10.280418,0.000000,7.329027,7.329027,0.000000,172.272575
4,9.453877,9.453877,0.000000,6.661673,6.661673,0.000000,175.473777
5,8.695128,8.695128,0.000000,6.054044,6.054044,0.000000,174.062235
6,7.998611,7.998611,0.000000,5.501016,5.501016,0.000000,176.671767
7,7.359220,7.359220,0.000000,4.997916,4.997916,0.000000,168.399585
8,6.772270,6.772270,0.000000,4.540444,4.540444,0.000000,166.867773
9,6.233459,6.233459,0.000000,4.124681,4.124681,0.000000,161.108434
10,5.738841,5.738841,0.000000,3.746955,3.746955,0.000000,168.888868
11,5.284788,5.284788,0.000000,3.404005,3.404005,0.000000,170.375361
12,4.867974,4.867974,0.000000,3.092907,3.092907,0.000000,176.660124
13,4.485347,4.485347,0.000000,2.810823,2.810823,0.000000,173.162384
14,4.134104,4.134104,0.000000,2.555213,2.555213,0.000000,168.430829
15,3.811671,3.811671,0.000000,2.324976,2.324976,0.000000,178.101236
16,3.515683,3.515683,0.000000,2.115849,2.115849,0.000000,171.842312
17,3.243969,3.243969,0.000000,1.926856,1.926856,0.000000,176.375257
18,2.994542,2.994542,0.000000,1.756227,1.756227,0.000000,163.017929
19,2.765571,2.765571,0.000000,1.602319,1.602319,0.000000,171.843409
20,2.555380,2.555380,0.000000,1.463663,1.463663,0.000000,174.636336
21,2.362428,2.362428,0.000000,1.338908,1.338908,0.000000,177.747558
22,2.185302,2.185302,0.000000,1.226787,1.226787,0.000000,180.395855
23,2.022704,2.022704,0.000000,1.126167,1.126167,0.000000,168.923973
24,1.873442,1.873442,0.000000,1.036008,1.036008,0.000000,168.429850
25,1.736421,1.736421,0.000000,0.955363,0.955363,0.000000,172.638059
26,1.610637,1.610637,0.000000,0.883371,0.883371,0.000000,172.947803
27,1.495171,1.495171,0.000000,0.819219,0.819219,0.000000,167.759557
28,1.389174,1.389174,0.000000,0.762200,0.762200,0.000000,179.745092
29,1.291872,1.291872,0.000000,0.711631,0.711631,0.000000,183.589145
30,1.202549,1.202549,0.000000,0.666925,0.666925,0.000000,176.473732
