epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,8.298146,8.298146,0.000000,3.229931,3.229931,0.000000,213.502136
2,3.091619,3.091619,0.000000,1.062611,1.062611,0.000000,213.003666
3,1.224570,1.224570,0.000000,0.498804,0.498804,0.000000,205.293196
4,0.564266,0.564266,0.000000,0.420151,0.420151,0.000000,211.532377
5,0.352617,0.352617,0.000000,0.443690,0.443690,0.000000,195.037735
6,0.295358,0.295358,0.000000,0.475386,0.475386,0.000000,197.000901
7,0.239560,0.239560,0.000000,0.529138,0.529138,0.000000,187.361524
8,0.247311,0.247311,0.000000,0.496942,0.496942,0.000000,190.219512
9,0.251847,0.251847,0.000000,0.511982,0.511982,0.000000,196.746527
10,0.222219,0.222219,0.000000,0.555346,0.555346,0.000000,204.627164
11,0.217184,0.217184,0.000000,0.535793,0.535793,0.000000,213.189657
12,0.214866,0.214866,0.000000,0.572298,0.572298,0.000000,208.904346
13,0.207447,0.207447,0.000000,0.597967,0.597967,0.000000,208.052536
14,0.204464,0.204464,0.000000,0.615272,0.615272,0.000000,193.390803
15,0.203249,0.203249,0.000000,0.626680,0.626680,0.000000,191.642451
