epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,2.784124,2.784124,0.000000,0.534874,0.534874,0.000000,255.944077
2,0.204931,0.204931,0.000000,0.640866,0.640866,0.000000,254.665713
3,0.202240,0.202240,0.000000,0.644519,0.644519,0.000000,261.175722
4,0.202232,0.202232,0.000000,0.644596,0.644596,0.000000,255.608661
5,0.202228,0.202228,0.000000,0.644575,0.644575,0.000000,251.628817
6,0.202223,0.202223,0.000000,0.644514,0.644514,0.000000,224.204263
7,0.202210,0.202210,0.000000,0.644422,0.644422,0.000000,272.536428
8,0.202198,0.202198,0.000000,0.644372,0.644372,0.000000,302.481614
9,0.202188,0.202188,0.000000,0.644296,0.644296,0.000000,278.151534
10,0.202176,0.202176,0.000000,0.644264,0.644264,0.000000,263.556344
11,0.202169,0.202169,0.000000,0.644255,0.644255,0.000000,273.057725
12,0.202162,0.202162,0.000000,0.644237,0.644237,0.000000,243.351629
13,0.202154,0.202154,0.000000,0.644226,0.644226,0.000000,257.701472
14,0.202143,0.202143,0.000000,0.644199,0.644199,0.000000,271.187085
15,0.202130,0.202130,0.000000,0.644175,0.644175,0.000000,258.472670
16,0.202116,0.202116,0.000000,0.644169,0.644169,0.000000,289.192306
17,0.202098,0.202098,0.000000,0.644138,0.644138,0.000000,257.840557
18,0.202073,0.202073,0.000000,0.644087,0.644087,0.000000,291.971909
