epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,6.126038,6.126038,0.000000,1.060663,1.060663,0.000000,405.345179
2,0.863541,0.863541,0.000000,0.421924,0.421924,0.000000,404.833919
3,0.273992,0.273992,0.000000,0.534393,0.534393,0.000000,411.433729
4,0.209792,0.209792,0.000000,0.606564,0.606564,0.000000,407.043130
5,0.202770,0.202770,0.000000,0.634174,0.634174,0.000000,413.977623
6,0.201992,0.201992,0.000000,0.643687,0.643687,0.000000,415.710409
7,0.201903,0.201903,0.000000,0.646862,0.646862,0.000000,408.815024
8,0.201891,0.201891,0.000000,0.647928,0.647928,0.000000,422.830947
9,0.201889,0.201889,0.000000,0.648259,0.648259,0.000000,411.257534
10,0.201887,0.201887,0.000000,0.648354,0.648354,0.000000,430.152900
11,0.201885,0.201885,0.000000,0.648374,0.648374,0.000000,438.238156
12,0.201882,0.201882,0.000000,0.648360,0.648360,0.000000,430.299687
