epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,10.542373,10.542373,0.000000,6.280926,6.280926,0.000000,359.025425
2,7.251596,7.251596,0.000000,4.320542,4.320542,0.000000,365.769040
3,5.380361,5.380361,0.000000,3.320032,3.320032,0.000000,355.881941
4,4.333288,4.333288,0.000000,2.828701,2.828701,0.000000,359.633789
5,3.744462,3.744462,0.000000,2.601735,2.601735,0.000000,351.219323
6,3.410465,3.410465,0.000000,2.513465,2.513465,0.000000,359.825951
7,3.218508,3.218508,0.000000,2.486342,2.486342,0.000000,351.726781
8,3.252094,3.252094,0.000000,2.697476,2.697476,0.000000,345.503672
9,3.230749,3.230749,0.000000,2.698575,2.698575,0.000000,344.479701
10,3.125014,3.125014,0.000000,2.662807,2.662807,0.000000,347.023801
11,3.034707,3.034707,0.000000,2.633196,2.633196,0.000000,347.627379
12,2.989198,2.989198,0.000000,2.637500,2.637500,0.000000,343.312062
13,2.930255,2.930255,0.000000,2.602191,2.602191,0.000000,354.541879
14,2.866524,2.866524,0.000000,2.567797,2.567797,0.000000,347.340027
15,2.811903,2.811903,0.000000,2.534755,2.534755,0.000000,353.785357
16,2.764204,2.764204,0.000000,2.503201,2.503201,0.000000,338.302201
17,2.722090,2.722090,0.000000,2.473348,2.473348,0.000000,351.728650
18,2.684382,2.684382,0.000000,2.444948,2.444948,0.000000,349.468208
19,2.651327,2.651327,0.000000,2.419808,2.419808,0.000000,344.082318
20,2.621000,2.621000,0.000000,2.394945,2.394945,0.000000,344.503433
21,2.592858,2.592858,0.000000,2.371453,2.371453,0.000000,353.176985
22,2.567360,2.567360,0.000000,2.350425,2.350425,0.000000,349.380512
23,2.543807,2.543807,0.000000,2.330257,2.330257,0.000000,348.290197
24,2.521919,2.521919,0.000000,2.311378,2.311378,0.000000,340.866691
25,2.501817,2.501817,0.000000,2.293999,2.293999,0.000000,348.282232
26,2.483486,2.483486,0.000000,2.277754,2.277754,0.000000,351.230322
27,2.465672,2.465672,0.000000,2.262767,2.262767,0.000000,346.377572
28,2.448999,2.448999,0.000000,2.248137,2.248137,0.000000,353.699586
29,2.433232,2.433232,0.000000,2.234328,2.234328,0.000000,354.203460
30,2.419171,2.419171,0.000000,2.222643,2.222643,0.000000,347.250332
31,2.430389,2.430389,0.000000,2.249392,2.249392,0.000000,356.684120
32,2.428231,2.428231,0.000000,2.232108,2.232108,0.000000,353.937947
33,2.417207,2.417207,0.000000,2.223791,2.223791,0.000000,357.391607
34,2.400306,2.400306,0.000000,2.207753,2.207753,0.000000,349.929125
35,2.378479,2.378479,0.000000,2.190063,2.190063,0.000000,346.409416
36,2.354962,2.354962,0.000000,2.172888,2.172888,0.000000,349.034560
37,2.333456,2.333456,0.000000,2.156389,2.156389,0.000000,341.661237
38,2.313672,2.313672,0.000000,2.140841,2.140841,0.000000,355.542893
39,2.295376,2.295376,0.000000,2.125893,2.125893,0.000000,361.060905
40,2.278363,2.278363,0.000000,2.111755,2.111755,0.000000,351.708609
1,2.269907,2.269907,0.000000,2.108427,2.108427,0.000000,142.099281
2,2.267854,2.267854,0.000000,2.106867,2.106867,0.000000,141.744702
3,2.265744,2.265744,0.000000,2.105086,2.105086,0.000000,142.458689
4,2.263661,2.263661,0.000000,2.103341,2.103341,0.000000,140.925926
5,2.261588,2.261588,0.000000,2.101570,2.101570,0.000000,140.888375
6,2.259527,2.259527,0.000000,2.099789,2.099789,0.000000,141.780398
7,2.257485,2.257485,0.000000,2.098066,2.098066,0.000000,140.042223
8,2.255469,2.255469,0.000000,2.096340,2.096340,0.000000,140.443856
9,2.253469,2.253469,0.000000,2.094605,2.094605,0.000000,142.348353
10,2.251481,2.251481,0.000000,2.092863,2.092863,0.000000,137.278575
11,2.249494,2.249494,0.000000,2.091099,2.091099,0.000000,137.904040
12,2.247526,2.247526,0.000000,2.089401,2.089401,0.000000,141.961627
13,2.245585,2.245585,0.000000,2.087699,2.087699,0.000000,140.049023
14,2.243654,2.243654,0.000000,2.085976,2.085976,0.000000,143.104087
15,2.241744,2.241744,0.000000,2.084338,2.084338,0.000000,144.025487
16,2.239858,2.239858,0.000000,2.082755,2.082755,0.000000,145.398471
17,2.237983,2.237983,0.000000,2.081143,2.081143,0.000000,145.659441
18,2.236122,2.236122,0.000000,2.079501,2.079501,0.000000,143.786548
19,2.234283,2.234283,0.000000,2.077893,2.077893,0.000000,142.526515
20,2.232451,2.232451,0.000000,2.076298,2.076298,0.000000,145.008157
