epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,9.127575,9.127575,0.000000,4.265713,4.265713,0.000000,166.587630
2,4.401288,4.401288,0.000000,1.842338,1.842338,0.000000,171.003727
3,2.175807,2.175807,0.000000,0.862947,0.862947,0.000000,172.865585
4,2.419976,2.419976,0.000000,1.380132,1.380132,0.000000,174.098590
5,1.794940,1.794940,0.000000,0.765923,0.765923,0.000000,184.673263
6,1.055596,1.055596,0.000000,0.511500,0.511500,0.000000,176.976546
7,0.658847,0.658847,0.000000,0.429825,0.429825,0.000000,183.848120
8,0.446717,0.446717,0.000000,0.425978,0.425978,0.000000,179.452683
9,0.333115,0.333115,0.000000,0.453110,0.453110,0.000000,176.966885
10,0.272276,0.272276,0.000000,0.488997,0.488997,0.000000,174.192399
11,0.239692,0.239692,0.000000,0.523842,0.523842,0.000000,175.083007
12,0.222239,0.222239,0.000000,0.553937,0.553937,0.000000,174.665034
13,0.212891,0.212891,0.000000,0.578425,0.578425,0.000000,174.370385
14,0.207882,0.207882,0.000000,0.597661,0.597661,0.000000,166.103292
15,0.205199,0.205199,0.000000,0.612441,0.612441,0.000000,167.358797
