epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,9.284909,9.284909,0.000000,4.442002,4.442002,0.000000,168.913845
2,4.588583,4.588583,0.000000,1.967784,1.967784,0.000000,173.507068
3,2.313644,2.313644,0.000000,0.929877,0.929877,0.000000,168.064285
4,2.688708,2.688708,0.000000,1.561047,1.561047,0.000000,168.530390
5,1.970501,1.970501,0.000000,0.831716,0.831716,0.000000,173.341163
6,1.130517,1.130517,0.000000,0.530480,0.530480,0.000000,168.282424
7,0.689546,0.689546,0.000000,0.431487,0.431487,0.000000,170.853391
8,0.458044,0.458044,0.000000,0.422369,0.422369,0.000000,165.959717
9,0.336506,0.336506,0.000000,0.448629,0.448629,0.000000,171.092304
10,0.272696,0.272696,0.000000,0.484908,0.484908,0.000000,174.548541
