epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,4.275754,4.275769,0.000000,0.463828,0.463851,0.000000,447.693430
2,0.350297,0.350338,0.000000,0.533515,0.533548,0.000000,461.498698
3,0.218548,0.218595,0.000000,0.562165,0.562198,0.000000,440.359165
4,0.216553,0.216600,0.000000,0.583269,0.583303,0.000000,444.130705
5,0.208596,0.208645,0.000000,0.592826,0.592861,0.000000,431.626824
6,0.205493,0.205542,0.000000,0.598271,0.598306,0.000000,436.772440
7,0.203012,0.203062,0.000000,0.626376,0.626411,0.000000,434.908207
8,0.203270,0.203319,0.000000,0.595407,0.595442,0.000000,437.056788
9,0.204809,0.204858,0.000000,0.607309,0.607344,0.000000,431.830404
10,0.203716,0.203765,0.000000,0.607530,0.607565,0.000000,440.907376
11,0.203019,0.203069,0.000000,0.615991,0.616026,0.000000,439.883753
12,0.202430,0.202480,0.000000,0.636419,0.636455,0.000000,444.891798
13,0.202249,0.202299,0.000000,0.618728,0.618763,0.000000,429.672791
14,0.203318,0.203368,0.000000,0.602715,0.602750,0.000000,404.110468
15,0.203542,0.203591,0.000000,0.618114,0.618149,0.000000,395.517966
