epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,10.928864,10.928864,0.000000,6.838396,6.838396,0.000000,389.594535
2,7.967626,7.967626,0.000000,4.717124,4.717124,0.000000,390.951804
3,5.646665,5.646665,0.000000,3.078692,3.078692,0.000000,397.510455
4,3.905185,3.905185,0.000000,2.004974,2.004974,0.000000,397.732006
5,2.718061,2.718061,0.000000,1.326904,1.326904,0.000000,389.966312
6,1.911628,1.911628,0.000000,0.911831,0.911831,0.000000,394.561013
7,1.363565,1.363565,0.000000,0.663511,0.663511,0.000000,399.041944
8,0.991273,0.991273,0.000000,0.524198,0.524198,0.000000,396.780636
9,0.738338,0.738338,0.000000,0.453098,0.453098,0.000000,395.098652
10,0.566490,0.566490,0.000000,0.425025,0.425025,0.000000,399.824600
11,0.449734,0.449734,0.000000,0.421925,0.421925,0.000000,400.785290
12,0.370408,0.370408,0.000000,0.433205,0.433205,0.000000,396.019973
13,0.316512,0.316512,0.000000,0.451863,0.451863,0.000000,399.278896
14,0.279937,0.279937,0.000000,0.473783,0.473783,0.000000,399.426034
15,0.255008,0.255008,0.000000,0.496106,0.496106,0.000000,400.354539
16,0.238106,0.238106,0.000000,0.517458,0.517458,0.000000,405.420503
17,0.226622,0.226622,0.000000,0.537051,0.537051,0.000000,392.237941
18,0.218818,0.218818,0.000000,0.554570,0.554570,0.000000,389.638249
19,0.213516,0.213516,0.000000,0.569918,0.569918,0.000000,390.750605
20,0.209912,0.209912,0.000000,0.583189,0.583189,0.000000,396.640657
21,0.207462,0.207462,0.000000,0.594543,0.594543,0.000000,402.638103
22,0.205795,0.205795,0.000000,0.604186,0.604186,0.000000,398.899268
23,0.204660,0.204660,0.000000,0.612333,0.612333,0.000000,390.126867
24,0.203886,0.203886,0.000000,0.619194,0.619194,0.000000,391.700554
25,0.203364,0.203364,0.000000,0.624952,0.624952,0.000000,385.712494
26,0.203016,0.203016,0.000000,0.629928,0.629928,0.000000,394.182010
27,0.202785,0.202785,0.000000,0.633918,0.633918,0.000000,394.511026
28,0.202613,0.202613,0.000000,0.637215,0.637215,0.000000,394.624858
29,0.202497,0.202497,0.000000,0.640013,0.640013,0.000000,387.141110
30,0.202432,0.202432,0.000000,0.642297,0.642297,0.000000,390.110231
