epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,7.938301,7.938301,0.000000,2.909724,2.909724,0.000000,312.830347
2,2.767459,2.767459,0.000000,0.917609,0.917609,0.000000,363.324388
3,1.051974,1.051974,0.000000,0.463854,0.463854,0.000000,364.354077
4,0.482828,0.482828,0.000000,0.431067,0.431067,0.000000,355.866140
5,0.342778,0.342778,0.000000,0.451485,0.451485,0.000000,338.745030
6,0.260615,0.260615,0.000000,0.513464,0.513464,0.000000,359.132325
7,0.249626,0.249626,0.000000,0.501894,0.501894,0.000000,354.328597
8,0.228973,0.228973,0.000000,0.473858,0.473858,0.000000,355.194069
9,0.241102,0.241102,0.000000,0.534191,0.534191,0.000000,350.866839
10,0.214403,0.214403,0.000000,0.579671,0.579671,0.000000,354.262921
11,0.205561,0.205561,0.000000,0.609500,0.609500,0.000000,361.785818
12,0.202599,0.202599,0.000000,0.627784,0.627784,0.000000,369.774222
13,0.201621,0.201621,0.000000,0.638678,0.638678,0.000000,354.906327
14,0.210247,0.210247,0.000000,0.543917,0.543917,0.000000,353.832772
15,0.212004,0.212004,0.000000,0.586366,0.586366,0.000000,357.945394
16,0.206622,0.206622,0.000000,0.590333,0.590333,0.000000,350.047355
17,0.206049,0.206049,0.000000,0.593466,0.593466,0.000000,353.468519
18,0.205540,0.205540,0.000000,0.596458,0.596458,0.000000,352.403771
19,0.205083,0.205083,0.000000,0.599315,0.599315,0.000000,348.941693
20,0.204674,0.204674,0.000000,0.602043,0.602043,0.000000,351.336123
21,0.204307,0.204307,0.000000,0.604644,0.604644,0.000000,348.332651
22,0.203978,0.203978,0.000000,0.607123,0.607123,0.000000,348.139901
23,0.203683,0.203683,0.000000,0.609488,0.609488,0.000000,349.469863
24,0.203419,0.203419,0.000000,0.611741,0.611741,0.000000,345.410078
25,0.203181,0.203181,0.000000,0.613888,0.613888,0.000000,347.761574
26,0.202969,0.202969,0.000000,0.615932,0.615932,0.000000,350.187516
27,0.202778,0.202778,0.000000,0.617877,0.617877,0.000000,345.374577
28,0.202607,0.202607,0.000000,0.619731,0.619731,0.000000,351.710580
29,0.202454,0.202454,0.000000,0.621493,0.621493,0.000000,344.864852
30,0.202317,0.202317,0.000000,0.623168,0.623168,0.000000,350.030413
