epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,3.454780,0.000000,3.454780,1.205276,0.000000,1.205276,334.415566
2,0.841666,0.000000,0.841666,0.658754,0.000000,0.658754,339.695768
3,0.509849,0.000000,0.509849,0.644176,0.000000,0.644176,329.677199
4,0.463788,0.000000,0.463788,0.670223,0.000000,0.670223,335.096631
5,0.445225,0.000000,0.445225,0.672487,0.000000,0.672487,332.532850
6,0.447636,0.000000,0.447636,0.693035,0.000000,0.693035,327.093877
7,0.442020,0.000000,0.442020,0.678718,0.000000,0.678718,339.174668
8,0.446321,0.000000,0.446321,0.695657,0.000000,0.695657,332.131333
9,0.443366,0.000000,0.443366,0.701241,0.000000,0.701241,334.394613
10,0.442755,0.000000,0.442755,0.702959,0.000000,0.702959,334.854837
11,0.442604,0.000000,0.442604,0.703529,0.000000,0.703529,331.430201
12,0.442301,0.000000,0.442301,0.688253,0.000000,0.688253,331.507308
13,0.444426,0.000000,0.444426,0.699141,0.000000,0.699141,337.037618
14,0.440350,0.000000,0.440350,0.691784,0.000000,0.691784,337.373668
15,0.442143,0.000000,0.442143,0.689255,0.000000,0.689255,341.997090
