epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,6.910108,0.000000,6.910108,3.671802,0.000000,3.671802,147.577850
2,3.303398,0.000000,3.303398,1.776228,0.000000,1.776228,146.701859
3,1.736812,0.000000,1.736812,0.999165,0.000000,0.999165,150.475724
4,1.010600,0.000000,1.010600,0.729117,0.000000,0.729117,159.163330
5,0.696365,0.000000,0.696365,0.654893,0.000000,0.654893,164.385478
6,0.559862,0.000000,0.559862,0.650376,0.000000,0.650376,168.839351
7,0.499699,0.000000,0.499699,0.666197,0.000000,0.666197,172.299797
8,0.474149,0.000000,0.474149,0.684820,0.000000,0.684820,166.805267
9,0.462323,0.000000,0.462323,0.700383,0.000000,0.700383,165.218186
10,0.457042,0.000000,0.457042,0.712438,0.000000,0.712438,166.458269
11,0.454500,0.000000,0.454500,0.720932,0.000000,0.720932,167.517585
12,0.453249,0.000000,0.453249,0.726333,0.000000,0.726333,167.655914
13,0.452745,0.000000,0.452745,0.730213,0.000000,0.730213,164.339506
14,0.452463,0.000000,0.452463,0.732914,0.000000,0.732914,161.086062
15,0.452272,0.000000,0.452272,0.734713,0.000000,0.734713,168.632669
16,0.452167,0.000000,0.452167,0.735891,0.000000,0.735891,165.987978
17,0.452106,0.000000,0.452106,0.736669,0.000000,0.736669,157.116184
18,0.452069,0.000000,0.452069,0.737181,0.000000,0.737181,167.538131
