epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,5.048439,0.000000,5.048439,1.476421,0.000000,1.476421,211.056287
2,1.115691,0.000000,1.115691,0.688134,0.000000,0.688134,201.755309
3,0.554672,0.000000,0.554672,0.683316,0.000000,0.683316,206.955287
4,0.473066,0.000000,0.473066,0.716977,0.000000,0.716977,192.094840
5,0.459382,0.000000,0.459382,0.735200,0.000000,0.735200,191.059155
6,0.456617,0.000000,0.456617,0.744869,0.000000,0.744869,208.188457
7,0.455624,0.000000,0.455624,0.748489,0.000000,0.748489,199.150540
8,0.455316,0.000000,0.455316,0.749801,0.000000,0.749801,212.639518
9,0.455191,0.000000,0.455191,0.750001,0.000000,0.750001,212.883013
10,0.455217,0.000000,0.455217,0.750423,0.000000,0.750423,201.236820
11,0.455151,0.000000,0.455151,0.750322,0.000000,0.750322,202.087595
