epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,6.803308,0.000000,6.803308,3.267640,0.000000,3.267640,331.180784
2,2.838372,0.000000,2.838372,1.383228,0.000000,1.383228,334.767996
3,1.338957,0.000000,1.338957,0.802450,0.000000,0.802450,339.312743
4,0.785148,0.000000,0.785148,0.655917,0.000000,0.655917,334.244439
5,0.579407,0.000000,0.579407,0.642083,0.000000,0.642083,334.223627
6,0.503273,0.000000,0.503273,0.660972,0.000000,0.660972,326.181167
7,0.473599,0.000000,0.473599,0.682592,0.000000,0.682592,322.334398
8,0.462138,0.000000,0.462138,0.699539,0.000000,0.699539,321.133636
9,0.457480,0.000000,0.457480,0.710610,0.000000,0.710610,328.830831
10,0.455655,0.000000,0.455655,0.718610,0.000000,0.718610,337.534810
11,0.454740,0.000000,0.454740,0.723623,0.000000,0.723623,326.398365
12,0.454317,0.000000,0.454317,0.726672,0.000000,0.726672,332.901427
13,0.454016,0.000000,0.454016,0.727756,0.000000,0.727756,338.666832
14,0.454054,0.000000,0.454054,0.729155,0.000000,0.729155,338.181728
15,0.453977,0.000000,0.453977,0.730002,0.000000,0.730002,344.216723
16,0.453934,0.000000,0.453934,0.730506,0.000000,0.730506,333.209753
17,0.453910,0.000000,0.453910,0.730805,0.000000,0.730805,337.416499
18,0.453895,0.000000,0.453895,0.730988,0.000000,0.730988,326.471330
19,0.453887,0.000000,0.453887,0.731095,0.000000,0.731095,331.950788
20,0.453882,0.000000,0.453882,0.731159,0.000000,0.731159,329.938301
21,0.453879,0.000000,0.453879,0.731197,0.000000,0.731197,336.886425
22,0.453877,0.000000,0.453877,0.731217,0.000000,0.731217,331.692799
23,0.453876,0.000000,0.453876,0.731238,0.000000,0.731238,335.565794
24,0.453875,0.000000,0.453875,0.731246,0.000000,0.731246,347.906716
25,0.453843,0.000000,0.453843,0.731001,0.000000,0.731001,334.564854
26,0.453888,0.000000,0.453888,0.731095,0.000000,0.731095,342.727087
27,0.453883,0.000000,0.453883,0.731151,0.000000,0.731151,329.896491
28,0.453880,0.000000,0.453880,0.731185,0.000000,0.731185,335.942336
29,0.453879,0.000000,0.453879,0.731207,0.000000,0.731207,343.952900
30,0.453877,0.000000,0.453877,0.731209,0.000000,0.731209,339.273083
