epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,7.122749,0.000000,7.122749,4.106894,0.000000,4.106894,167.781253
2,4.202188,0.000000,4.202188,3.943949,0.000000,3.943949,168.512952
3,3.918366,0.000000,3.918366,2.462063,0.000000,2.462063,170.780998
4,2.549427,0.000000,2.549427,1.579579,0.000000,1.579579,174.373483
5,1.687518,0.000000,1.687518,1.098128,0.000000,1.098128,157.967922
6,1.178831,0.000000,1.178831,0.844197,0.000000,0.844197,161.202172
7,0.878223,0.000000,0.878223,0.717439,0.000000,0.717439,162.661347
8,0.700442,0.000000,0.700442,0.660317,0.000000,0.660317,155.749532
9,0.595196,0.000000,0.595196,0.640154,0.000000,0.640154,131.727650
10,0.532811,0.000000,0.532811,0.638639,0.000000,0.638639,143.028744
11,0.495771,0.000000,0.495771,0.645707,0.000000,0.645707,146.215239
12,0.473731,0.000000,0.473731,0.655985,0.000000,0.655985,142.784424
13,0.460581,0.000000,0.460581,0.666735,0.000000,0.666735,146.447497
14,0.452709,0.000000,0.452709,0.676674,0.000000,0.676674,140.798029
15,0.447975,0.000000,0.447975,0.685298,0.000000,0.685298,142.776839
