epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,7.390191,0.000000,7.390191,4.459824,0.000000,4.459824,172.164997
2,4.345680,0.000000,4.345680,2.922824,0.000000,2.922824,158.424141
3,2.908805,0.000000,2.908805,1.692386,0.000000,1.692386,153.403394
4,1.771018,0.000000,1.771018,1.090770,0.000000,1.090770,138.491965
5,1.161637,0.000000,1.161637,0.810681,0.000000,0.810681,171.905490
6,0.834944,0.000000,0.834944,0.691209,0.000000,0.691209,163.699448
7,0.659558,0.000000,0.659558,0.649408,0.000000,0.649408,174.101010
8,0.565223,0.000000,0.565223,0.643164,0.000000,0.643164,155.603437
9,0.514353,0.000000,0.514353,0.651579,0.000000,0.651579,163.545380
10,0.486828,0.000000,0.486828,0.664661,0.000000,0.664661,168.447872
