epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,time
1,5.500466,0.000000,5.500467,2.110537,0.000000,2.110541,346.103498
2,1.682552,0.000000,1.682562,0.890051,0.000000,0.890059,346.676838
3,0.800289,0.000000,0.800307,0.664314,0.000000,0.664324,346.279761
4,0.564529,0.000000,0.564551,0.649553,0.000000,0.649565,344.518319
5,0.485802,0.000000,0.485828,0.662663,0.000000,0.662675,343.950377
6,0.473894,0.000000,0.473921,0.686923,0.000000,0.686936,342.771291
7,0.461885,0.000000,0.461913,0.673693,0.000000,0.673706,329.397090
8,0.467920,0.000000,0.467946,0.694035,0.000000,0.694048,339.004449
9,0.458987,0.000000,0.459014,0.686556,0.000000,0.686569,333.345556
10,0.463641,0.000000,0.463668,0.701773,0.000000,0.701786,340.578242
11,0.462317,0.000000,0.462345,0.697299,0.000000,0.697313,339.234907
12,0.458628,0.000000,0.458655,0.686209,0.000000,0.686222,346.464020
13,0.463793,0.000000,0.463820,0.701391,0.000000,0.701405,328.848219
14,0.460541,0.000000,0.460569,0.710020,0.000000,0.710034,355.484013
15,0.459380,0.000000,0.459408,0.714628,0.000000,0.714642,342.045688
16,0.458981,0.000000,0.459009,0.717111,0.000000,0.717125,341.521113
17,0.458771,0.000000,0.458799,0.718386,0.000000,0.718400,335.668835
18,0.458676,0.000000,0.458705,0.719035,0.000000,0.719049,334.761839
19,0.458631,0.000000,0.458659,0.719349,0.000000,0.719363,336.788133
20,0.458461,0.000000,0.458489,0.717875,0.000000,0.717888,333.691317
21,0.458716,0.000000,0.458744,0.718833,0.000000,0.718847,336.432107
22,0.458643,0.000000,0.458672,0.719324,0.000000,0.719338,338.726617
23,0.458597,0.000000,0.458626,0.719501,0.000000,0.719515,337.942982
24,0.458616,0.000000,0.458644,0.719496,0.000000,0.719510,340.130714
25,0.460598,0.000000,0.460626,0.706215,0.000000,0.706229,341.858638
26,0.459818,0.000000,0.459846,0.712534,0.000000,0.712547,338.818357
27,0.459169,0.000000,0.459197,0.716093,0.000000,0.716106,337.118846
28,0.458846,0.000000,0.458874,0.717970,0.000000,0.717984,334.563488
29,0.458683,0.000000,0.458712,0.718881,0.000000,0.718895,336.774827
30,0.458664,0.000000,0.458693,0.719439,0.000000,0.719453,324.062231
