epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,499403.218750,499403.218750,0.000000,29310.771484,29310.771484,0.000000,11436.637695,1.007494,0.500000,247.599948
2,687.724731,687.724731,0.000000,0.004370,0.004370,0.000000,4.408945,1.007494,0.500000,228.849778
3,0.031981,0.031981,0.000000,0.003880,0.003880,0.000000,4.155709,1.007494,0.500000,236.271769
4,0.028164,0.028164,0.000000,0.003397,0.003397,0.000000,3.889225,1.007494,0.500000,212.437002
5,0.024469,0.024469,0.000000,0.002938,0.002938,0.000000,3.617933,1.007494,0.500000,218.677589
6,0.021023,0.021023,0.000000,0.002517,0.002517,0.000000,3.348850,1.007494,0.500000,228.643103
7,0.017899,0.017899,0.000000,0.002139,0.002139,0.000000,3.087799,1.007494,0.500000,232.995179
8,0.015128,0.015128,0.000000,0.001805,0.001805,0.000000,2.837462,1.007494,0.500000,222.811548
9,0.012702,0.012702,0.000000,0.001515,0.001515,0.000000,2.599684,1.007494,0.500000,236.522341
10,0.010596,0.010596,0.000000,0.001263,0.001263,0.000000,2.373883,1.007494,0.500000,227.208622
11,0.008777,0.008777,0.000000,0.001046,0.001046,0.000000,2.160336,1.007494,0.500000,235.737212
12,0.007214,0.007214,0.000000,0.000859,0.000859,0.000000,1.957962,1.007494,0.500000,239.339674
13,0.005879,0.005879,0.000000,0.000700,0.000700,0.000000,1.768340,1.007494,0.500000,249.130444
14,0.004757,0.004757,0.000000,0.000568,0.000568,0.000000,1.592273,1.007494,0.500000,249.779792
15,0.003834,0.003834,0.000000,0.000460,0.000460,0.000000,1.433507,1.007494,0.500000,253.735382
16,0.003096,0.003096,0.000000,0.000375,0.000375,0.000000,1.293949,1.007494,0.500000,250.216870
17,0.002527,0.002527,0.000000,0.000311,0.000311,0.000000,1.178087,1.007494,0.500000,278.410360
18,0.002111,0.002111,0.000000,0.000265,0.000265,0.000000,1.086335,1.007494,0.500000,250.251655
19,0.001821,0.001821,0.000000,0.000234,0.000234,0.000000,1.019952,1.007494,0.500000,254.823546
20,0.001633,0.001633,0.000000,0.000213,0.000213,0.000000,0.974565,1.007494,0.500000,256.686564
21,0.001520,0.001520,0.000000,0.000202,0.000202,0.000000,0.947609,1.007494,0.500000,254.693884
22,0.001459,0.001459,0.000000,0.000195,0.000195,0.000000,0.932051,1.007494,0.500000,258.992572
23,0.001429,0.001429,0.000000,0.000192,0.000192,0.000000,0.924988,1.007494,0.500000,269.968299
24,0.001417,0.001417,0.000000,0.000191,0.000191,0.000000,0.921288,1.007494,0.500000,251.789393
25,0.001413,0.001413,0.000000,0.000191,0.000191,0.000000,0.920713,1.007494,0.500000,259.850785
