epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.001471,0.001467,0.000000,0.000190,0.000186,0.000000,0.910133,0.978066,0.500000,196.635918
2,0.001381,0.001377,0.000000,0.000188,0.000184,0.000000,0.905294,0.978066,0.500000,204.248998
3,0.001367,0.001363,0.000000,0.000187,0.000183,0.000000,0.904038,0.978066,0.500000,190.109454
4,0.001361,0.001357,0.000000,0.000187,0.000183,0.000000,0.903669,0.978066,0.500000,190.349449
5,0.001358,0.001354,0.000000,0.000187,0.000183,0.000000,0.903661,0.978066,0.500000,191.645427
6,0.001355,0.001351,0.000000,0.000187,0.000183,0.000000,0.903819,0.978066,0.500000,188.575485
7,0.001352,0.001348,0.000000,0.000187,0.000183,0.000000,0.904037,0.978066,0.500000,230.245098
8,0.001350,0.001346,0.000000,0.000187,0.000183,0.000000,0.904245,0.978066,0.500000,192.202748
9,0.001347,0.001343,0.000000,0.000187,0.000183,0.000000,0.904451,0.978066,0.500000,223.558203
10,0.001344,0.001340,0.000000,0.000187,0.000183,0.000000,0.904731,0.978066,0.500000,186.874380
11,0.001341,0.001337,0.000000,0.000188,0.000184,0.000000,0.905137,0.978066,0.500000,188.275078
12,0.001338,0.001334,0.000000,0.000188,0.000184,0.000000,0.905755,0.978066,0.500000,189.420132
13,0.001333,0.001329,0.000000,0.000188,0.000184,0.000000,0.906640,0.978066,0.500000,215.131040
14,0.001328,0.001324,0.000000,0.000188,0.000184,0.000000,0.907342,0.978066,0.500000,232.779384
15,0.001323,0.001319,0.000000,0.000189,0.000185,0.000000,0.907487,0.978066,0.500000,221.884290
