epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,1.310449,1.310449,0.000000,0.160969,0.160969,0.000000,25.099060,0.981413,0.500000,278.600401
2,1.164131,1.164131,0.000000,0.221577,0.221577,0.000000,29.110462,0.981413,0.500000,259.307849
3,1.481945,1.481945,0.000000,0.161515,0.161515,0.000000,25.206772,0.981413,0.500000,261.760855
4,1.258127,1.258127,0.000000,0.156194,0.156194,0.000000,24.686083,0.981413,0.500000,249.912479
5,1.169964,1.169964,0.000000,0.152501,0.152501,0.000000,24.385372,0.981413,0.500000,260.254713
6,1.149338,1.149338,0.000000,0.153481,0.153481,0.000000,24.528385,0.981413,0.500000,253.381992
7,1.161048,1.161048,0.000000,0.160467,0.160467,0.000000,24.856819,0.981413,0.500000,259.423499
8,1.154735,1.154735,0.000000,0.175571,0.175571,0.000000,26.231667,0.981413,0.500000,265.264385
9,1.236568,1.236568,0.000000,0.166283,0.166283,0.000000,25.178629,0.981413,0.500000,266.292345
10,1.267749,1.267749,0.000000,0.153725,0.153725,0.000000,24.547638,0.981413,0.500000,268.035463
11,1.188061,1.188061,0.000000,0.153742,0.153742,0.000000,24.502327,0.981413,0.500000,280.826411
12,1.209553,1.209553,0.000000,0.178408,0.178408,0.000000,26.449913,0.981413,0.500000,305.263849
13,1.200814,1.200814,0.000000,0.156923,0.156923,0.000000,24.536352,0.981413,0.500000,313.128711
14,1.155177,1.155177,0.000000,0.168323,0.168323,0.000000,25.816824,0.981413,0.500000,319.615768
15,1.207827,1.207827,0.000000,0.162420,0.162420,0.000000,25.210974,0.981413,0.500000,308.609118
