epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.001770,0.001770,0.000000,0.000204,0.000204,0.000000,0.954317,1.060776,0.100000,403.117583
2,0.001540,0.001540,0.000000,0.000199,0.000199,0.000000,0.942469,1.060776,0.100000,395.565276
3,0.001514,0.001514,0.000000,0.000196,0.000196,0.000000,0.935489,1.060776,0.100000,403.519233
4,0.001495,0.001495,0.000000,0.000194,0.000194,0.000000,0.930239,1.060776,0.100000,378.682570
5,0.001479,0.001479,0.000000,0.000192,0.000192,0.000000,0.926006,1.060776,0.100000,392.977760
6,0.001466,0.001466,0.000000,0.000190,0.000190,0.000000,0.922400,1.060776,0.100000,359.193781
7,0.001454,0.001454,0.000000,0.000189,0.000189,0.000000,0.919565,1.060776,0.100000,373.340995
8,0.001444,0.001444,0.000000,0.000188,0.000188,0.000000,0.916870,1.060776,0.100000,391.790676
9,0.001435,0.001435,0.000000,0.000187,0.000187,0.000000,0.914674,1.060776,0.100000,366.936434
10,0.001427,0.001427,0.000000,0.000186,0.000186,0.000000,0.912684,1.060776,0.100000,384.650367
11,0.001420,0.001420,0.000000,0.000186,0.000186,0.000000,0.910897,1.060776,0.100000,374.451356
12,0.001413,0.001413,0.000000,0.000185,0.000185,0.000000,0.909493,1.060776,0.100000,386.660272
13,0.001407,0.001407,0.000000,0.000185,0.000185,0.000000,0.908197,1.060776,0.100000,387.142856
14,0.001401,0.001401,0.000000,0.000184,0.000184,0.000000,0.907018,1.060776,0.100000,375.980541
15,0.001396,0.001396,0.000000,0.000184,0.000184,0.000000,0.905858,1.060776,0.100000,378.106222
16,0.001392,0.001392,0.000000,0.000183,0.000183,0.000000,0.904774,1.060776,0.100000,387.817340
17,0.001387,0.001387,0.000000,0.000183,0.000183,0.000000,0.903894,1.060776,0.100000,387.817282
18,0.001383,0.001383,0.000000,0.000182,0.000182,0.000000,0.903009,1.060776,0.100000,381.486993
19,0.001380,0.001380,0.000000,0.000182,0.000182,0.000000,0.902226,1.060776,0.100000,367.823698
20,0.001376,0.001376,0.000000,0.000182,0.000182,0.000000,0.901559,1.060776,0.100000,393.858071
21,0.001373,0.001373,0.000000,0.000182,0.000182,0.000000,0.900858,1.060776,0.100000,394.382094
22,0.001370,0.001370,0.000000,0.000181,0.000181,0.000000,0.900295,1.060776,0.100000,383.396148
23,0.001368,0.001368,0.000000,0.000181,0.000181,0.000000,0.899642,1.060776,0.100000,379.859580
24,0.001365,0.001365,0.000000,0.000181,0.000181,0.000000,0.899111,1.060776,0.100000,393.409290
25,0.001363,0.001363,0.000000,0.000181,0.000181,0.000000,0.898566,1.060776,0.100000,391.372993
26,0.001360,0.001360,0.000000,0.000180,0.000180,0.000000,0.898097,1.060776,0.100000,387.837654
27,0.001358,0.001358,0.000000,0.000180,0.000180,0.000000,0.897627,1.060776,0.100000,396.931086
28,0.001356,0.001356,0.000000,0.000180,0.000180,0.000000,0.897216,1.060776,0.100000,403.180718
29,0.001354,0.001354,0.000000,0.000180,0.000180,0.000000,0.896848,1.060776,0.100000,367.511283
30,0.001353,0.001353,0.000000,0.000180,0.000180,0.000000,0.896462,1.060776,0.100000,314.278698
31,0.001351,0.001351,0.000000,0.000180,0.000180,0.000000,0.896124,1.060776,0.100000,323.842284
32,0.001349,0.001349,0.000000,0.000180,0.000180,0.000000,0.895730,1.060776,0.100000,319.707317
33,0.001348,0.001348,0.000000,0.000179,0.000179,0.000000,0.895443,1.060776,0.100000,320.984801
34,0.001346,0.001346,0.000000,0.000179,0.000179,0.000000,0.895158,1.060776,0.100000,322.278893
35,0.001345,0.001345,0.000000,0.000179,0.000179,0.000000,0.894855,1.060776,0.100000,319.448107
36,0.001343,0.001343,0.000000,0.000179,0.000179,0.000000,0.894542,1.060776,0.100000,304.500207
37,0.001342,0.001342,0.000000,0.000179,0.000179,0.000000,0.894302,1.060776,0.100000,313.282272
38,0.001341,0.001341,0.000000,0.000179,0.000179,0.000000,0.894028,1.060776,0.100000,307.293286
39,0.001340,0.001340,0.000000,0.000179,0.000179,0.000000,0.893723,1.060776,0.100000,308.530439
40,0.001339,0.001339,0.000000,0.000179,0.000179,0.000000,0.893483,1.060776,0.100000,305.872463
41,0.001337,0.001337,0.000000,0.000179,0.000179,0.000000,0.893289,1.060776,0.100000,307.001752
42,0.001336,0.001336,0.000000,0.000178,0.000178,0.000000,0.893101,1.060776,0.100000,306.564641
43,0.001335,0.001335,0.000000,0.000178,0.000178,0.000000,0.892922,1.060776,0.100000,316.879748
44,0.001335,0.001335,0.000000,0.000178,0.000178,0.000000,0.892748,1.060776,0.100000,313.663874
45,0.001334,0.001334,0.000000,0.000178,0.000178,0.000000,0.892523,1.060776,0.100000,308.203696
46,0.001333,0.001333,0.000000,0.000178,0.000178,0.000000,0.892308,1.060776,0.100000,309.073566
47,0.001332,0.001332,0.000000,0.000178,0.000178,0.000000,0.892157,1.060776,0.100000,312.029585
48,0.001331,0.001331,0.000000,0.000178,0.000178,0.000000,0.891977,1.060776,0.100000,308.606842
49,0.001330,0.001330,0.000000,0.000178,0.000178,0.000000,0.891776,1.060776,0.100000,306.262307
50,0.001329,0.001329,0.000000,0.000178,0.000178,0.000000,0.891641,1.060776,0.100000,305.549466
