epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.001486,0.001486,0.000000,0.000186,0.000186,0.000000,0.910660,0.982834,0.500000,222.665495
2,0.001376,0.001376,0.000000,0.000184,0.000184,0.000000,0.904949,0.982834,0.500000,195.138831
3,0.001363,0.001363,0.000000,0.000183,0.000183,0.000000,0.903395,0.982834,0.500000,196.403857
4,0.001358,0.001358,0.000000,0.000183,0.000183,0.000000,0.902750,0.982834,0.500000,193.252323
5,0.001355,0.001355,0.000000,0.000183,0.000183,0.000000,0.902451,0.982834,0.500000,192.769860
6,0.001352,0.001352,0.000000,0.000183,0.000183,0.000000,0.902374,0.982834,0.500000,212.781643
7,0.001349,0.001349,0.000000,0.000183,0.000183,0.000000,0.902492,0.982834,0.500000,201.539068
8,0.001345,0.001345,0.000000,0.000183,0.000183,0.000000,0.902992,0.982834,0.500000,201.985936
9,0.001341,0.001341,0.000000,0.000184,0.000184,0.000000,0.904258,0.982834,0.500000,205.238649
10,0.001335,0.001335,0.000000,0.000184,0.000184,0.000000,0.906239,0.982834,0.500000,211.007148
11,0.001330,0.001330,0.000000,0.000185,0.000185,0.000000,0.908210,0.982834,0.500000,198.295184
12,0.001325,0.001325,0.000000,0.000186,0.000186,0.000000,0.909621,0.982834,0.500000,201.607509
