epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.001446,0.001446,0.000000,0.000185,0.000185,0.000000,0.908284,1.003031,0.500000,261.530280
2,0.001367,0.001367,0.000000,0.000183,0.000183,0.000000,0.903869,1.003031,0.500000,207.192744
3,0.001355,0.001355,0.000000,0.000183,0.000183,0.000000,0.902714,1.003031,0.500000,208.170838
4,0.001348,0.001348,0.000000,0.000183,0.000183,0.000000,0.902654,1.003031,0.500000,207.522979
5,0.001343,0.001343,0.000000,0.000183,0.000183,0.000000,0.903203,1.003031,0.500000,207.825281
6,0.001337,0.001337,0.000000,0.000183,0.000183,0.000000,0.904624,1.003031,0.500000,200.134222
7,0.001331,0.001331,0.000000,0.000184,0.000184,0.000000,0.906833,1.003031,0.500000,209.178816
8,0.001324,0.001324,0.000000,0.000185,0.000185,0.000000,0.908595,1.003031,0.500000,196.390100
9,0.001318,0.001318,0.000000,0.000185,0.000185,0.000000,0.909606,1.003031,0.500000,194.756390
10,0.001312,0.001312,0.000000,0.000186,0.000186,0.000000,0.910430,1.003031,0.500000,205.081303
11,0.001307,0.001307,0.000000,0.000186,0.000186,0.000000,0.911048,1.003031,0.500000,204.047852
12,0.001303,0.001303,0.000000,0.000186,0.000186,0.000000,0.911715,1.003031,0.500000,214.727446
13,0.001299,0.001299,0.000000,0.000187,0.000187,0.000000,0.912363,1.003031,0.500000,205.911140
14,0.001295,0.001295,0.000000,0.000187,0.000187,0.000000,0.912947,1.003031,0.500000,212.372809
15,0.001292,0.001292,0.000000,0.000187,0.000187,0.000000,0.913454,1.003031,0.500000,218.830875
16,0.001289,0.001289,0.000000,0.000187,0.000187,0.000000,0.914036,1.003031,0.500000,221.641659
17,0.001285,0.001285,0.000000,0.000187,0.000187,0.000000,0.914686,1.003031,0.500000,219.915954
18,0.001283,0.001283,0.000000,0.000188,0.000188,0.000000,0.915363,1.003031,0.500000,221.771733
19,0.001280,0.001280,0.000000,0.000188,0.000188,0.000000,0.916125,1.003031,0.500000,220.366938
20,0.001277,0.001277,0.000000,0.000188,0.000188,0.000000,0.916849,1.003031,0.500000,216.462334
21,0.001275,0.001275,0.000000,0.000189,0.000189,0.000000,0.917556,1.003031,0.500000,225.895567
22,0.001272,0.001272,0.000000,0.000189,0.000189,0.000000,0.918256,1.003031,0.500000,226.491096
23,0.001270,0.001270,0.000000,0.000189,0.000189,0.000000,0.918966,1.003031,0.500000,228.196369
24,0.001268,0.001268,0.000000,0.000189,0.000189,0.000000,0.919640,1.003031,0.500000,224.275822
25,0.001266,0.001266,0.000000,0.000190,0.000190,0.000000,0.920248,1.003031,0.500000,226.468622
26,0.001264,0.001264,0.000000,0.000190,0.000190,0.000000,0.920738,1.003031,0.500000,225.995217
27,0.001262,0.001262,0.000000,0.000190,0.000190,0.000000,0.921190,1.003031,0.500000,230.841653
28,0.001259,0.001259,0.000000,0.000190,0.000190,0.000000,0.921650,1.003031,0.500000,230.567749
29,0.001257,0.001257,0.000000,0.000190,0.000190,0.000000,0.922068,1.003031,0.500000,232.046958
30,0.001256,0.001256,0.000000,0.000191,0.000191,0.000000,0.922461,1.003031,0.500000,231.486199
