epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.001589,0.001549,0.000000,0.000235,0.000195,0.000000,0.932093,0.995478,0.100000,291.665309
2,0.001480,0.001440,0.000000,0.000229,0.000189,0.000000,0.916891,0.995478,0.100000,298.364194
3,0.001441,0.001401,0.000000,0.000226,0.000186,0.000000,0.910715,0.995478,0.100000,301.811320
4,0.001422,0.001382,0.000000,0.000225,0.000185,0.000000,0.907368,0.995478,0.100000,311.049653
5,0.001411,0.001371,0.000000,0.000224,0.000184,0.000000,0.905347,0.995478,0.100000,303.527420
6,0.001404,0.001364,0.000000,0.000223,0.000184,0.000000,0.903911,0.995478,0.100000,307.366937
7,0.001398,0.001359,0.000000,0.000223,0.000183,0.000000,0.903005,0.995478,0.100000,289.518393
8,0.001395,0.001355,0.000000,0.000223,0.000183,0.000000,0.902321,0.995478,0.100000,292.511626
9,0.001392,0.001352,0.000000,0.000223,0.000183,0.000000,0.901849,0.995478,0.100000,295.333352
10,0.001389,0.001349,0.000000,0.000222,0.000182,0.000000,0.901467,0.995478,0.100000,285.113267
11,0.001387,0.001347,0.000000,0.000222,0.000182,0.000000,0.901228,0.995478,0.100000,326.511513
12,0.001385,0.001345,0.000000,0.000222,0.000182,0.000000,0.901035,0.995478,0.100000,344.873090
13,0.001384,0.001344,0.000000,0.000222,0.000182,0.000000,0.900941,0.995478,0.100000,349.561102
14,0.001382,0.001342,0.000000,0.000222,0.000182,0.000000,0.900902,0.995478,0.100000,326.731728
15,0.001381,0.001341,0.000000,0.000222,0.000182,0.000000,0.900908,0.995478,0.100000,301.733573
16,0.001379,0.001340,0.000000,0.000222,0.000182,0.000000,0.900890,0.995478,0.100000,303.332421
17,0.001378,0.001338,0.000000,0.000222,0.000182,0.000000,0.900951,0.995478,0.100000,291.383253
18,0.001377,0.001337,0.000000,0.000222,0.000182,0.000000,0.901078,0.995478,0.100000,273.091128
19,0.001375,0.001336,0.000000,0.000222,0.000182,0.000000,0.901233,0.995478,0.100000,281.110503
20,0.001374,0.001334,0.000000,0.000222,0.000182,0.000000,0.901428,0.995478,0.100000,284.437131
21,0.001373,0.001333,0.000000,0.000222,0.000183,0.000000,0.901642,0.995478,0.100000,275.488243
22,0.001371,0.001332,0.000000,0.000222,0.000183,0.000000,0.901894,0.995478,0.100000,277.423610
23,0.001370,0.001330,0.000000,0.000223,0.000183,0.000000,0.902164,0.995478,0.100000,280.417994
24,0.001369,0.001329,0.000000,0.000223,0.000183,0.000000,0.902457,0.995478,0.100000,276.797771
25,0.001367,0.001328,0.000000,0.000223,0.000183,0.000000,0.902764,0.995478,0.100000,281.429070
26,0.001366,0.001326,0.000000,0.000223,0.000183,0.000000,0.903079,0.995478,0.100000,277.416456
27,0.001365,0.001325,0.000000,0.000223,0.000183,0.000000,0.903363,0.995478,0.100000,282.110686
28,0.001363,0.001323,0.000000,0.000223,0.000183,0.000000,0.903689,0.995478,0.100000,283.673733
29,0.001362,0.001322,0.000000,0.000223,0.000183,0.000000,0.904021,0.995478,0.100000,281.742927
30,0.001360,0.001321,0.000000,0.000223,0.000184,0.000000,0.904334,0.995478,0.100000,263.223303
