epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.003721,0.000000,0.003721,0.000516,0.000000,0.000516,1.000129,0.985330,0.500000,173.041969
2,0.003716,0.000000,0.003716,0.000516,0.000000,0.000516,1.000129,0.985109,0.500000,172.683755
3,0.003714,0.000000,0.003714,0.000516,0.000000,0.000516,1.000129,0.984890,0.500000,166.347973
4,0.003712,0.000000,0.003712,0.000515,0.000000,0.000515,1.000129,0.984673,0.500000,165.035872
5,0.003711,0.000000,0.003711,0.000515,0.000000,0.000515,1.000129,0.984459,0.500000,176.078643
6,0.003709,0.000000,0.003709,0.000515,0.000000,0.000515,1.000129,0.984246,0.500000,172.684735
7,0.003707,0.000000,0.003707,0.000515,0.000000,0.000515,1.000129,0.984036,0.500000,176.353121
8,0.003706,0.000000,0.003706,0.000515,0.000000,0.000515,1.000129,0.983828,0.500000,184.085045
9,0.003704,0.000000,0.003704,0.000514,0.000000,0.000514,1.000129,0.983622,0.500000,186.951700
10,0.003702,0.000000,0.003702,0.000514,0.000000,0.000514,1.000129,0.983417,0.500000,181.464474
11,0.003701,0.000000,0.003701,0.000514,0.000000,0.000514,1.000129,0.983215,0.500000,192.403615
12,0.003699,0.000000,0.003699,0.000514,0.000000,0.000514,1.000129,0.983015,0.500000,174.588797
13,0.003698,0.000000,0.003698,0.000514,0.000000,0.000514,1.000129,0.982817,0.500000,187.856018
14,0.003696,0.000000,0.003696,0.000513,0.000000,0.000513,1.000129,0.982620,0.500000,182.048792
15,0.003694,0.000000,0.003694,0.000513,0.000000,0.000513,1.000129,0.982426,0.500000,162.075315
