epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.003751,0.000000,0.003751,0.000513,0.000000,0.000513,1.137579,0.964057,0.100000,197.411067
2,0.003637,0.000000,0.003637,0.000505,0.000000,0.000505,1.137579,0.957635,0.100000,199.506390
3,0.003564,0.000000,0.003564,0.000501,0.000000,0.000501,1.137579,0.950198,0.100000,204.002419
4,0.003491,0.000000,0.003491,0.000495,0.000000,0.000495,1.137579,0.944576,0.100000,238.776870
5,0.003426,0.000000,0.003426,0.000490,0.000000,0.000490,1.137579,0.940776,0.100000,209.157807
6,0.003378,0.000000,0.003378,0.000486,0.000000,0.000486,1.137579,0.938424,0.100000,213.236825
7,0.003338,0.000000,0.003338,0.000482,0.000000,0.000482,1.137579,0.936855,0.100000,230.809314
8,0.003311,0.000000,0.003311,0.000479,0.000000,0.000479,1.137579,0.936107,0.100000,198.610902
9,0.003280,0.000000,0.003280,0.000478,0.000000,0.000478,1.137579,0.935978,0.100000,214.955697
10,0.003279,0.000000,0.003279,0.000480,0.000000,0.000480,1.137579,0.938596,0.100000,193.065563
11,0.003259,0.000000,0.003259,0.000478,0.000000,0.000478,1.137579,0.937561,0.100000,227.134341
12,0.003244,0.000000,0.003244,0.000476,0.000000,0.000476,1.137579,0.936609,0.100000,198.460216
13,0.003220,0.000000,0.003220,0.000474,0.000000,0.000474,1.137579,0.936691,0.100000,208.633427
