epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.004368,0.000000,0.004368,0.000548,0.000000,0.000548,1.137843,0.920389,0.100000,273.540785
2,0.004063,0.000000,0.004063,0.000547,0.000000,0.000547,1.137843,0.919896,0.100000,269.150222
3,0.004055,0.000000,0.004055,0.000547,0.000000,0.000547,1.137843,0.919275,0.100000,276.054419
4,0.004050,0.000000,0.004050,0.000547,0.000000,0.000547,1.137843,0.918527,0.100000,290.355620
5,0.004037,0.000000,0.004037,0.000547,0.000000,0.000547,1.137843,0.916776,0.100000,292.244036
6,0.004033,0.000000,0.004033,0.000546,0.000000,0.000546,1.137843,0.915881,0.100000,282.947661
7,0.004017,0.000000,0.004017,0.000545,0.000000,0.000545,1.137843,0.913959,0.100000,278.374830
8,0.003999,0.000000,0.003999,0.000544,0.000000,0.000544,1.137843,0.912091,0.100000,273.929896
9,0.003967,0.000000,0.003967,0.000541,0.000000,0.000541,1.137843,0.908472,0.100000,273.674133
10,0.003938,0.000000,0.003938,0.000539,0.000000,0.000539,1.137843,0.904984,0.100000,279.260202
11,0.003906,0.000000,0.003906,0.000536,0.000000,0.000536,1.137843,0.901384,0.100000,285.749116
12,0.003872,0.000000,0.003872,0.000533,0.000000,0.000533,1.137843,0.898301,0.100000,287.521045
13,0.003839,0.000000,0.003839,0.000531,0.000000,0.000531,1.137843,0.895492,0.100000,282.988963
14,0.003806,0.000000,0.003806,0.000529,0.000000,0.000529,1.137843,0.893059,0.100000,262.873133
15,0.003773,0.000000,0.003773,0.000527,0.000000,0.000527,1.137843,0.890678,0.100000,197.225582
16,0.003743,0.000000,0.003743,0.000526,0.000000,0.000526,1.137843,0.889308,0.100000,188.939985
17,0.003716,0.000000,0.003716,0.000525,0.000000,0.000525,1.137843,0.887769,0.100000,192.800802
18,0.003689,0.000000,0.003689,0.000523,0.000000,0.000523,1.137843,0.886552,0.100000,182.043419
19,0.003664,0.000000,0.003664,0.000522,0.000000,0.000522,1.137843,0.885389,0.100000,172.006748
20,0.003639,0.000000,0.003639,0.000521,0.000000,0.000521,1.137843,0.884482,0.100000,174.082387
21,0.003616,0.000000,0.003616,0.000520,0.000000,0.000520,1.137843,0.883556,0.100000,174.586537
22,0.003592,0.000000,0.003592,0.000519,0.000000,0.000519,1.137843,0.882714,0.100000,178.278227
23,0.003570,0.000000,0.003570,0.000517,0.000000,0.000517,1.137843,0.881863,0.100000,171.066679
24,0.003548,0.000000,0.003548,0.000517,0.000000,0.000517,1.137843,0.881265,0.100000,171.177428
25,0.003528,0.000000,0.003528,0.000515,0.000000,0.000515,1.137843,0.880702,0.100000,171.226879
26,0.003508,0.000000,0.003508,0.000514,0.000000,0.000514,1.137843,0.880050,0.100000,173.534636
27,0.003489,0.000000,0.003489,0.000513,0.000000,0.000513,1.137843,0.879386,0.100000,175.195167
28,0.003471,0.000000,0.003471,0.000512,0.000000,0.000512,1.137843,0.878880,0.100000,177.101269
29,0.003454,0.000000,0.003454,0.000511,0.000000,0.000511,1.137843,0.878346,0.100000,173.130601
30,0.003437,0.000000,0.003437,0.000511,0.000000,0.000511,1.137843,0.877964,0.100000,180.234687
1,0.003419,0.000000,0.003419,0.000510,0.000000,0.000510,1.137843,0.877500,0.100000,177.779555
