epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.004078,0.000000,0.004078,0.000551,0.000000,0.000551,0.993555,0.924499,0.100000,259.236755
2,0.004077,0.000000,0.004077,0.000551,0.000000,0.000551,0.993555,0.924361,0.100000,212.759703
3,0.004076,0.000000,0.004076,0.000550,0.000000,0.000550,0.993555,0.924252,0.100000,200.641088
4,0.004075,0.000000,0.004075,0.000550,0.000000,0.000550,0.993555,0.924159,0.100000,197.022139
5,0.004074,0.000000,0.004074,0.000550,0.000000,0.000550,0.993555,0.924075,0.100000,195.693078
6,0.004073,0.000000,0.004073,0.000550,0.000000,0.000550,0.993555,0.923993,0.100000,204.210336
7,0.004073,0.000000,0.004073,0.000550,0.000000,0.000550,0.993555,0.923914,0.100000,275.749942
8,0.004072,0.000000,0.004072,0.000550,0.000000,0.000550,0.993555,0.923842,0.100000,284.106888
9,0.004072,0.000000,0.004072,0.000550,0.000000,0.000550,0.993555,0.923773,0.100000,285.921060
10,0.004071,0.000000,0.004071,0.000550,0.000000,0.000550,0.993555,0.923707,0.100000,283.242996
11,0.004071,0.000000,0.004071,0.000550,0.000000,0.000550,0.993555,0.923644,0.100000,289.793113
12,0.004070,0.000000,0.004070,0.000550,0.000000,0.000550,0.993555,0.923584,0.100000,295.544825
13,0.004070,0.000000,0.004070,0.000550,0.000000,0.000550,0.993555,0.923524,0.100000,289.174478
14,0.004069,0.000000,0.004069,0.000550,0.000000,0.000550,0.993555,0.923466,0.100000,295.110364
15,0.004069,0.000000,0.004069,0.000550,0.000000,0.000550,0.993555,0.923408,0.100000,308.814726
16,0.004068,0.000000,0.004068,0.000550,0.000000,0.000550,0.993555,0.923349,0.100000,309.510149
17,0.004068,0.000000,0.004068,0.000550,0.000000,0.000550,0.993555,0.923290,0.100000,304.444479
18,0.004067,0.000000,0.004067,0.000550,0.000000,0.000550,0.993555,0.923231,0.100000,311.933153
19,0.004067,0.000000,0.004067,0.000550,0.000000,0.000550,0.993555,0.923170,0.100000,326.941696
20,0.004066,0.000000,0.004066,0.000549,0.000000,0.000549,0.993555,0.923109,0.100000,338.427409
21,0.004065,0.000000,0.004065,0.000549,0.000000,0.000549,0.993555,0.923047,0.100000,350.200447
22,0.004065,0.000000,0.004065,0.000549,0.000000,0.000549,0.993555,0.922986,0.100000,362.442408
23,0.004064,0.000000,0.004064,0.000549,0.000000,0.000549,0.993555,0.922926,0.100000,370.307795
24,0.004064,0.000000,0.004064,0.000549,0.000000,0.000549,0.993555,0.922867,0.100000,401.746596
25,0.004063,0.000000,0.004063,0.000549,0.000000,0.000549,0.993555,0.922808,0.100000,375.237211
26,0.004063,0.000000,0.004063,0.000549,0.000000,0.000549,0.993555,0.922749,0.100000,382.856246
27,0.004062,0.000000,0.004062,0.000549,0.000000,0.000549,0.993555,0.922689,0.100000,363.223074
28,0.004062,0.000000,0.004062,0.000549,0.000000,0.000549,0.993555,0.922628,0.100000,364.805464
29,0.004061,0.000000,0.004061,0.000549,0.000000,0.000549,0.993555,0.922567,0.100000,363.494274
30,0.004061,0.000000,0.004061,0.000549,0.000000,0.000549,0.993555,0.922504,0.100000,370.434512
