epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.004089,0.000000,0.004089,0.000550,0.000000,0.000550,0.998509,0.923865,0.100000,310.167585
2,0.004075,0.000000,0.004075,0.000550,0.000000,0.000550,0.998509,0.923971,0.100000,307.567688
3,0.004073,0.000000,0.004073,0.000550,0.000000,0.000550,0.998509,0.923905,0.100000,289.049847
4,0.004071,0.000000,0.004071,0.000550,0.000000,0.000550,0.998509,0.923454,0.100000,304.063806
5,0.004069,0.000000,0.004069,0.000549,0.000000,0.000549,0.998509,0.923218,0.100000,298.608002
6,0.004067,0.000000,0.004067,0.000549,0.000000,0.000549,0.998509,0.923088,0.100000,281.522008
7,0.004064,0.000000,0.004064,0.000549,0.000000,0.000549,0.998509,0.923374,0.100000,284.165338
8,0.004060,0.000000,0.004060,0.000549,0.000000,0.000549,0.998509,0.922404,0.100000,294.337746
9,0.004054,0.000000,0.004054,0.000549,0.000000,0.000549,0.998509,0.921860,0.100000,297.075866
10,0.004046,0.000000,0.004046,0.000548,0.000000,0.000548,0.998509,0.921478,0.100000,295.446883
11,0.004040,0.000000,0.004040,0.000548,0.000000,0.000548,0.998509,0.920840,0.100000,281.591179
12,0.004028,0.000000,0.004028,0.000547,0.000000,0.000547,0.998509,0.919152,0.100000,291.148354
13,0.004013,0.000000,0.004013,0.000547,0.000000,0.000547,0.998509,0.918827,0.100000,285.896187
14,0.003995,0.000000,0.003995,0.000545,0.000000,0.000545,0.998509,0.916417,0.100000,292.021391
15,0.003976,0.000000,0.003976,0.000543,0.000000,0.000543,0.998509,0.915295,0.100000,307.204568
16,0.003954,0.000000,0.003954,0.000542,0.000000,0.000542,0.998509,0.912481,0.100000,293.782914
17,0.003933,0.000000,0.003933,0.000541,0.000000,0.000541,0.998509,0.911460,0.100000,309.526442
18,0.003907,0.000000,0.003907,0.000539,0.000000,0.000539,0.998509,0.908956,0.100000,204.810183
19,0.003879,0.000000,0.003879,0.000537,0.000000,0.000537,0.998509,0.907082,0.100000,222.506085
20,0.003853,0.000000,0.003853,0.000536,0.000000,0.000536,0.998509,0.905390,0.100000,229.216844
21,0.003836,0.000000,0.003836,0.000534,0.000000,0.000534,0.998509,0.902610,0.100000,255.416857
22,0.003811,0.000000,0.003811,0.000532,0.000000,0.000532,0.998509,0.901493,0.100000,259.787375
23,0.003783,0.000000,0.003783,0.000529,0.000000,0.000529,0.998509,0.898812,0.100000,264.209750
24,0.003755,0.000000,0.003755,0.000528,0.000000,0.000528,0.998509,0.897601,0.100000,293.147095
25,0.003730,0.000000,0.003730,0.000526,0.000000,0.000526,0.998509,0.894893,0.100000,291.403722
26,0.003704,0.000000,0.003704,0.000525,0.000000,0.000525,0.998509,0.894579,0.100000,292.904450
27,0.003683,0.000000,0.003683,0.000525,0.000000,0.000525,0.998509,0.893884,0.100000,297.081326
28,0.003670,0.000000,0.003670,0.000523,0.000000,0.000523,0.998509,0.891905,0.100000,296.116982
29,0.003646,0.000000,0.003646,0.000521,0.000000,0.000521,0.998509,0.890727,0.100000,297.840784
30,0.003625,0.000000,0.003625,0.000520,0.000000,0.000520,0.998509,0.889737,0.100000,310.410673
1,0.003604,0.000000,0.003604,0.000519,0.000000,0.000519,0.998509,0.888659,0.100000,300.326842
2,0.003587,0.000000,0.003587,0.000517,0.000000,0.000517,0.998509,0.887318,0.100000,278.295825
3,0.003571,0.000000,0.003571,0.000517,0.000000,0.000517,0.998509,0.887291,0.100000,303.620238
4,0.003556,0.000000,0.003556,0.000516,0.000000,0.000516,0.998509,0.886878,0.100000,319.451239
5,0.003542,0.000000,0.003542,0.000515,0.000000,0.000515,0.998509,0.885985,0.100000,308.996418
6,0.003530,0.000000,0.003530,0.000515,0.000000,0.000515,0.998509,0.885604,0.100000,306.023242
7,0.003513,0.000000,0.003513,0.000514,0.000000,0.000514,0.998509,0.884907,0.100000,298.150892
8,0.003500,0.000000,0.003500,0.000513,0.000000,0.000513,0.998509,0.883715,0.100000,295.949275
9,0.003490,0.000000,0.003490,0.000512,0.000000,0.000512,0.998509,0.884228,0.100000,299.076752
10,0.003477,0.000000,0.003477,0.000512,0.000000,0.000512,0.998509,0.884343,0.100000,305.040045
11,0.003467,0.000000,0.003467,0.000511,0.000000,0.000511,0.998509,0.883486,0.100000,291.575337
12,0.003452,0.000000,0.003452,0.000511,0.000000,0.000511,0.998509,0.883252,0.100000,301.821516
13,0.003442,0.000000,0.003442,0.000510,0.000000,0.000510,0.998509,0.882708,0.100000,308.946851
14,0.003432,0.000000,0.003432,0.000510,0.000000,0.000510,0.998509,0.883021,0.100000,305.492789
15,0.003424,0.000000,0.003424,0.000509,0.000000,0.000509,0.998509,0.882812,0.100000,295.714372
16,0.003416,0.000000,0.003416,0.000508,0.000000,0.000508,0.998509,0.881648,0.100000,316.418610
17,0.003408,0.000000,0.003408,0.000508,0.000000,0.000508,0.998509,0.882204,0.100000,296.645752
18,0.003394,0.000000,0.003394,0.000508,0.000000,0.000508,0.998509,0.882487,0.100000,291.969661
19,0.003385,0.000000,0.003385,0.000507,0.000000,0.000507,0.998509,0.882235,0.100000,281.669618
20,0.003376,0.000000,0.003376,0.000507,0.000000,0.000507,0.998509,0.881755,0.100000,300.878635
21,0.003370,0.000000,0.003370,0.000507,0.000000,0.000507,0.998509,0.881221,0.100000,300.103413
22,0.003369,0.000000,0.003369,0.000507,0.000000,0.000507,0.998509,0.881803,0.100000,306.965003
23,0.003354,0.000000,0.003354,0.000506,0.000000,0.000506,0.998509,0.881123,0.100000,302.811678
24,0.003351,0.000000,0.003351,0.000506,0.000000,0.000506,0.998509,0.880556,0.100000,290.347796
25,0.003344,0.000000,0.003344,0.000506,0.000000,0.000506,0.998509,0.880816,0.100000,289.854382
26,0.003333,0.000000,0.003333,0.000504,0.000000,0.000504,0.998509,0.878962,0.100000,307.751971
27,0.003321,0.000000,0.003321,0.000504,0.000000,0.000504,0.998509,0.879524,0.100000,288.276783
28,0.003317,0.000000,0.003317,0.000504,0.000000,0.000504,0.998509,0.879440,0.100000,297.678864
29,0.003306,0.000000,0.003306,0.000504,0.000000,0.000504,0.998509,0.879981,0.100000,307.801775
30,0.003299,0.000000,0.003299,0.000503,0.000000,0.000503,0.998509,0.879239,0.100000,307.148962
31,0.003290,0.000000,0.003290,0.000503,0.000000,0.000503,0.998509,0.878558,0.100000,295.766992
32,0.003287,0.000000,0.003287,0.000503,0.000000,0.000503,0.998509,0.879013,0.100000,294.865599
33,0.003276,0.000000,0.003276,0.000502,0.000000,0.000502,0.998509,0.878249,0.100000,308.021291
34,0.003271,0.000000,0.003271,0.000501,0.000000,0.000501,0.998509,0.877505,0.100000,301.249556
35,0.003263,0.000000,0.003263,0.000501,0.000000,0.000501,0.998509,0.877468,0.100000,288.665999
36,0.003255,0.000000,0.003255,0.000500,0.000000,0.000500,0.998509,0.876252,0.100000,305.458049
37,0.003254,0.000000,0.003254,0.000500,0.000000,0.000500,0.998509,0.876549,0.100000,302.590432
38,0.003245,0.000000,0.003245,0.000500,0.000000,0.000500,0.998509,0.877471,0.100000,314.095181
39,0.003237,0.000000,0.003237,0.000500,0.000000,0.000500,0.998509,0.876731,0.100000,301.039801
