epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,1.891615,0.000000,0.004290,1.794546,0.000000,0.000549,1.085179,0.922885,0.100000,187.383424
2,1.705390,0.000000,0.004069,1.606787,0.000000,0.000549,1.085179,0.922455,0.100000,185.982090
3,1.522527,0.000000,0.004062,1.429194,0.000000,0.000549,1.085179,0.921310,0.100000,189.434507
4,1.350012,0.000000,0.004052,1.261996,0.000000,0.000548,1.085179,0.919437,0.100000,196.995165
5,1.187882,0.000000,0.004033,1.105193,0.000000,0.000546,1.085179,0.916348,0.100000,193.112673
6,1.036144,0.000000,0.004001,0.958801,0.000000,0.000542,1.085179,0.912036,0.100000,195.485109
7,0.894799,0.000000,0.003951,0.822810,0.000000,0.000537,1.085179,0.906893,0.100000,202.908665
8,0.763847,0.000000,0.003888,0.697230,0.000000,0.000532,1.085179,0.901353,0.100000,202.402508
9,0.643296,0.000000,0.003819,0.582052,0.000000,0.000526,1.085179,0.896151,0.100000,202.236414
10,0.533153,0.000000,0.003752,0.477283,0.000000,0.000521,1.085179,0.892021,0.100000,202.489327
11,0.433439,0.000000,0.003696,0.382945,0.000000,0.000518,1.085179,0.889178,0.100000,204.859443
12,0.344168,0.000000,0.003654,0.299032,0.000000,0.000515,1.085179,0.887330,0.100000,206.174438
13,0.265335,0.000000,0.003627,0.225546,0.000000,0.000513,1.085179,0.886425,0.100000,207.353898
14,0.196956,0.000000,0.003615,0.162510,0.000000,0.000512,1.085179,0.886454,0.100000,222.274041
15,0.139031,0.000000,0.003620,0.109907,0.000000,0.000513,1.085179,0.887617,0.100000,191.423924
16,0.091568,0.000000,0.003640,0.067741,0.000000,0.000515,1.085179,0.889971,0.100000,167.624323
17,0.054503,0.000000,0.003677,0.035942,0.000000,0.000519,1.085179,0.893798,0.100000,169.736710
18,0.027846,0.000000,0.003731,0.014536,0.000000,0.000525,1.085179,0.899196,0.100000,169.725599
19,0.011555,0.000000,0.003797,0.003432,0.000000,0.000530,1.085179,0.904497,0.100000,168.531988
20,0.005296,0.000000,0.003845,0.001390,0.000000,0.000533,1.085179,0.907070,0.100000,167.637498
21,0.004694,0.000000,0.003862,0.001278,0.000000,0.000532,1.085179,0.906156,0.100000,166.670281
22,0.004612,0.000000,0.003858,0.001233,0.000000,0.000530,1.085179,0.904221,0.100000,171.080446
23,0.004556,0.000000,0.003837,0.001209,0.000000,0.000527,1.085179,0.901880,0.100000,170.934691
24,0.004508,0.000000,0.003803,0.001200,0.000000,0.000524,1.085179,0.899257,0.100000,169.243189
25,0.004467,0.000000,0.003767,0.001194,0.000000,0.000522,1.085179,0.897042,0.100000,170.827742
26,0.004433,0.000000,0.003734,0.001190,0.000000,0.000520,1.085179,0.895226,0.100000,172.104313
27,0.004406,0.000000,0.003706,0.001188,0.000000,0.000518,1.085179,0.893815,0.100000,177.323844
28,0.004384,0.000000,0.003683,0.001187,0.000000,0.000517,1.085179,0.892725,0.100000,244.518864
29,0.004365,0.000000,0.003663,0.001187,0.000000,0.000516,1.085179,0.891874,0.100000,243.752178
30,0.004350,0.000000,0.003646,0.001188,0.000000,0.000515,1.085179,0.891233,0.100000,214.681621
