epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.115196,0.000000,0.003747,0.104365,0.000000,0.000517,1.096516,0.971017,0.100000,246.202875
2,0.100618,0.000000,0.003665,0.090841,0.000000,0.000508,1.096516,0.961380,0.100000,241.527978
3,0.087935,0.000000,0.003599,0.079078,0.000000,0.000501,1.096516,0.951539,0.100000,242.742666
4,0.076845,0.000000,0.003484,0.068844,0.000000,0.000491,1.096516,0.942223,0.100000,238.058051
5,0.067219,0.000000,0.003403,0.059943,0.000000,0.000483,1.096516,0.937041,0.100000,239.479633
6,0.058859,0.000000,0.003345,0.052203,0.000000,0.000477,1.096516,0.934069,0.100000,237.082714
7,0.051591,0.000000,0.003298,0.045470,0.000000,0.000473,1.096516,0.932518,0.100000,235.547457
8,0.045274,0.000000,0.003261,0.039617,0.000000,0.000470,1.096516,0.931630,0.100000,234.206212
9,0.039787,0.000000,0.003236,0.034527,0.000000,0.000470,1.096516,0.931378,0.100000,232.148620
10,0.035017,0.000000,0.003218,0.030099,0.000000,0.000469,1.096516,0.931665,0.100000,237.162787
11,0.030869,0.000000,0.003202,0.026249,0.000000,0.000469,1.096516,0.932769,0.100000,236.838058
12,0.027258,0.000000,0.003185,0.022898,0.000000,0.000467,1.096516,0.932777,0.100000,233.136093
13,0.024122,0.000000,0.003175,0.019984,0.000000,0.000465,1.096516,0.931813,0.100000,234.448746
14,0.021396,0.000000,0.003168,0.017456,0.000000,0.000469,1.096516,0.933049,0.100000,232.226750
15,0.019031,0.000000,0.003168,0.015251,0.000000,0.000468,1.096516,0.933055,0.100000,237.268893
16,0.016957,0.000000,0.003151,0.013330,0.000000,0.000463,1.096516,0.931851,0.100000,236.073288
17,0.015155,0.000000,0.003137,0.011665,0.000000,0.000464,1.096516,0.931472,0.100000,234.902618
18,0.013603,0.000000,0.003141,0.010225,0.000000,0.000474,1.096516,0.934781,0.100000,236.515891
19,0.012288,0.000000,0.003179,0.008964,0.000000,0.000472,1.096516,0.933893,0.100000,232.279595
20,0.011110,0.000000,0.003177,0.007866,0.000000,0.000471,1.096516,0.932678,0.100000,230.678067
21,0.010105,0.000000,0.003195,0.006904,0.000000,0.000462,1.096516,0.927116,0.100000,234.066917
22,0.009184,0.000000,0.003164,0.006078,0.000000,0.000466,1.096516,0.932453,0.100000,236.879136
23,0.008408,0.000000,0.003162,0.005353,0.000000,0.000462,1.096516,0.928767,0.100000,236.693883
24,0.007728,0.000000,0.003154,0.004726,0.000000,0.000461,1.096516,0.929923,0.100000,240.127536
25,0.007128,0.000000,0.003141,0.004180,0.000000,0.000461,1.096516,0.928855,0.100000,241.407093
26,0.006635,0.000000,0.003157,0.003705,0.000000,0.000460,1.096516,0.928062,0.100000,249.710253
27,0.006186,0.000000,0.003150,0.003304,0.000000,0.000472,1.096516,0.933721,0.100000,250.937339
28,0.005805,0.000000,0.003155,0.002940,0.000000,0.000468,1.096516,0.931517,0.100000,236.159048
29,0.005484,0.000000,0.003170,0.002627,0.000000,0.000467,1.096516,0.930618,0.100000,244.404262
30,0.005183,0.000000,0.003161,0.002347,0.000000,0.000460,1.096516,0.930345,0.100000,246.880225
