epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.003874,0.000000,0.003755,0.000634,0.000000,0.000516,1.084890,0.970993,0.100000,278.574158
2,0.003789,0.000000,0.003670,0.000628,0.000000,0.000509,1.084890,0.960802,0.100000,254.541621
3,0.003770,0.000000,0.003651,0.000625,0.000000,0.000506,1.084890,0.957368,0.100000,257.977418
4,0.003706,0.000000,0.003588,0.000623,0.000000,0.000504,1.084890,0.952267,0.100000,267.954802
5,0.003673,0.000000,0.003554,0.000619,0.000000,0.000500,1.084890,0.951673,0.100000,261.135629
6,0.003589,0.000000,0.003470,0.000613,0.000000,0.000494,1.084890,0.945347,0.100000,254.881051
7,0.003529,0.000000,0.003410,0.000607,0.000000,0.000488,1.084890,0.941618,0.100000,235.678364
8,0.003484,0.000000,0.003365,0.000603,0.000000,0.000484,1.084890,0.939532,0.100000,236.852628
9,0.003447,0.000000,0.003328,0.000600,0.000000,0.000481,1.084890,0.938182,0.100000,242.902089
10,0.003416,0.000000,0.003297,0.000597,0.000000,0.000479,1.084890,0.937161,0.100000,245.754485
11,0.003393,0.000000,0.003274,0.000597,0.000000,0.000478,1.084890,0.937239,0.100000,241.638979
12,0.003376,0.000000,0.003257,0.000595,0.000000,0.000476,1.084890,0.936137,0.100000,244.194173
13,0.003357,0.000000,0.003238,0.000593,0.000000,0.000475,1.084890,0.935817,0.100000,243.078988
14,0.003339,0.000000,0.003220,0.000591,0.000000,0.000473,1.084890,0.935246,0.100000,240.854895
15,0.003329,0.000000,0.003210,0.000592,0.000000,0.000473,1.084890,0.936259,0.100000,249.620784
