epoch,train_loss,train_i_loss,train_u_loss,valid_loss,valid_i_loss,valid_u_loss,valid_i_rmse,valid_u_rmse,learning_rate,time
1,0.003755,0.000000,0.003755,0.000516,0.000000,0.000516,1.084890,0.971184,0.100000,213.764784
2,0.003670,0.000000,0.003670,0.000509,0.000000,0.000509,1.084890,0.960920,0.100000,208.507000
3,0.003648,0.000000,0.003648,0.000506,0.000000,0.000506,1.084890,0.957299,0.100000,205.506424
4,0.003610,0.000000,0.003610,0.000506,0.000000,0.000506,1.084890,0.953867,0.100000,189.107165
5,0.003625,0.000000,0.003625,0.000506,0.000000,0.000506,1.084890,0.957460,0.100000,198.416885
6,0.003580,0.000000,0.003580,0.000503,0.000000,0.000503,1.084890,0.952873,0.100000,204.912887
7,0.003494,0.000000,0.003494,0.000496,0.000000,0.000496,1.084890,0.946017,0.100000,209.964803
8,0.003425,0.000000,0.003425,0.000491,0.000000,0.000491,1.084890,0.942022,0.100000,216.460376
9,0.003375,0.000000,0.003375,0.000486,0.000000,0.000486,1.084890,0.939540,0.100000,195.325224
10,0.003336,0.000000,0.003336,0.000483,0.000000,0.000483,1.084890,0.938394,0.100000,199.952062
11,0.003304,0.000000,0.003304,0.000481,0.000000,0.000481,1.084890,0.937735,0.100000,200.227086
12,0.003277,0.000000,0.003277,0.000478,0.000000,0.000478,1.084890,0.937257,0.100000,210.150858
13,0.003253,0.000000,0.003253,0.000477,0.000000,0.000477,1.084890,0.937319,0.100000,199.087713
14,0.003229,0.000000,0.003229,0.000475,0.000000,0.000475,1.084890,0.937325,0.100000,191.841208
15,0.003209,0.000000,0.003209,0.000474,0.000000,0.000474,1.084890,0.937609,0.100000,208.470978
16,0.003190,0.000000,0.003190,0.000473,0.000000,0.000473,1.084890,0.937780,0.100000,188.639961
17,0.003191,0.000000,0.003191,0.000477,0.000000,0.000477,1.084890,0.940469,0.100000,187.457339
18,0.003176,0.000000,0.003176,0.000476,0.000000,0.000476,1.084890,0.940360,0.100000,184.602762
19,0.003164,0.000000,0.003164,0.000478,0.000000,0.000478,1.084890,0.942023,0.100000,186.049777
20,0.003149,0.000000,0.003149,0.000477,0.000000,0.000477,1.084890,0.941319,0.100000,180.625509
21,0.003140,0.000000,0.003140,0.000476,0.000000,0.000476,1.084890,0.940655,0.100000,185.843930
22,0.003128,0.000000,0.003128,0.000475,0.000000,0.000475,1.084890,0.940468,0.100000,181.053509
23,0.003153,0.000000,0.003153,0.000478,0.000000,0.000478,1.084890,0.943681,0.100000,181.294026
24,0.003127,0.000000,0.003127,0.000477,0.000000,0.000477,1.084890,0.942604,0.100000,213.328614
25,0.003126,0.000000,0.003126,0.000476,0.000000,0.000476,1.084890,0.941790,0.100000,213.372520
26,0.003137,0.000000,0.003137,0.000476,0.000000,0.000476,1.084890,0.941804,0.100000,209.427797
27,0.003113,0.000000,0.003113,0.000475,0.000000,0.000475,1.084890,0.941197,0.100000,209.366917
28,0.003097,0.000000,0.003097,0.000474,0.000000,0.000474,1.084890,0.940831,0.100000,214.027261
29,0.003095,0.000000,0.003095,0.000473,0.000000,0.000473,1.084890,0.940398,0.100000,228.760217
30,0.003079,0.000000,0.003079,0.000473,0.000000,0.000473,1.084890,0.939949,0.100000,218.409500
